$(mwmyt) N	$(mwmy N
m(br) >	m(br) >
m(br) N	m(br N
m(brt) N	m(brh N
m(z) N	m(z N
m(zy) N	m(zy N
m(+ V	m(+ V
m(y+ A	m(y+ A
m(yy) N	m(yn N
m(yyn) N	m(yn#2 N
m(yyn)#2 N	m(yn#3 N
m(yl)y X	m(yl)y X
m(ylwy p	m(ylwy p
m(yn#3 N	m(yn#3 N
m(yn p	m(yn p
m(yq) N	m(yq N
m(yqb_ p	(qb N
m(yqb) X	(qb N
m(yqr) X	m(yqr) X
m(l V	m(l V
m(l) N	m(l N
m(lwn) N	m(lwn N
m(ly N	m(ly N
m(ly A	m(ly A
m(ly@kypwr) N	m(ly N
m(ly@$bt) N	m(ly N
m(lywt) N	m(lyw N
m(lm) X	m(lm) X
m(ln) N	m(ln N
m(c V	m(c V
m(cr) N	m(cr N
m(crt) N	m(crh N
m(rb) N	m(rb N
m(rb)h A	m(rby A
m(rt) N	m(rh N
m(&r) N	m(&r N
m(t) N	m(h N
mpwx) N	mpwx N
mp+r) >	mp+r) >
mp+rn N	mp+rn N
mp+rn) N	mp+rn N
mpyy+n N	mpyy+n N
mpyy+n) N	mpyy+n N
mplg A	mplg A
mplpln N	mplpln N
mplpln) N	mplpln N
mplt) N	mplh N
mpnq A	mpnq A
mpnqwt) N	mpnqw N
mpc) N	mpc N
mpqwn) N	mpqwn N
mpqn) N	mpqn N
mpqt) N	mpqh N
mprxyt) N	mprxyyt) N
mprkh N	mprkh N
mprkt) N	mprkh N
mpr(h N	mpr(h N
mpr(t) N	mpr(h N
mpr$ A	mpr$ A
mptx) N	mptx N
mptx)#2 N	mptx#2 N
mcdq A	mcdq A
mcdt) N	mcdh N
mcwbyt) N	mcwbyt) N
mcwwt) N	mcwh N
mcwyyn) >	mcwyyn) >
mcwt) N	mcw N
mc+bt) N	mc+bh N
mc+wwt) N	mc+bh N
mcy V	mcy#2 V
mcy#2 V	mcy V
mcyyn A	mcyyn A
mcy() A	mcy( N
mcy()h A	mcy(y A
mcy(wt) N	mcy(w N
mcy(t) N	mcy(h N
mcyc >	mcyc >
mc( V	mc( V
mc(t) N	mc(h N
mcc V	mcc V
mcr V	mcr#2 V
mcr#2 V	mcr V
mcr)h A	mcry A
mqb) N	mqb N
mqblt) N	mqblt) N
mqdm X	qdm p
mqd$) N	mqd$ N
mqwq N	mqwq N
mqwr) >	mqwr) >
mqwt) >	mqwt) >
mq+wr) N	mq+wr N
mqmy p	mqmy p
mqmy@d_	mn@qwmy p
mqct_ N	mqct p
mqq N	mqq N
mqq#2 N	mqq#2 N
mqr)ny N	mqr)ny N
mqrb A	mqrb A
mqry N	mqry N
mqry@drdqy N	mqry#2 N
mqry@ynwqy N	mqry#2 N
mqry@rbnn N	mqry#2 N
mqrq() N	mqrq( N
mqrr) N	qrr V
mq$)h A	mq$y N
mr N	mr N
mr@rb N	mr@rb N
mr)#2 >	mr)#2 >
mr)#3 >	mr)#3 >
mr) N	mr N
mr)r) N	mr)r N
mrb N	mrb N
mrbyynt) N	mrbynh N
mrbynt) N	mrbynh N
mrb(h N	mrb(h N
mrb(t) N	mrb(h N
mrg) N	mrg N
mrgwpn) >	mrgwpn) >
mrglyt) N	mrgly N
mrgnyt) N	mrgny N
mrd V	mrd V
mrd N	mrd#2 N
mrd#2 N	mrd#3 N
mrd)#3 N	mrd#2 N
mrd) N	mrd#2 N
mrd)#2 N	mrd#2 N
mrdgw$ N	mrdgw$ N
mrdwt) N	mrdw#2 N
mrdwt)#2 N	mrdw N
mrdn) N	mrdn N
mrdq) N	mrdq N
mrw) N	mrw) N
mrw)@xywr) N	mrw) N
mrwb) N	mrwb) N
mrwby) N	mrwby) N
mrwdy) N	mrwdy) N
mrwxh N	mrwxh N
mrwxt) N	mrwxh N
mrwm) N	mrwm N
mrwq) N	mrwq) N
mrwr) N	mrwr N
mrwt) N	mrw N
mrz)b) N	mrz)b N
mrzb) N	mrzb N
mrzb)n) N	mrzb)n N
mrzbn) N	mrzbn N
mrzbt) N	mrzbh N
mrzwbl) N	mrzwbly N
mrzwpt) N	mrzwph N
mrzx) N	mrzx N
mrzyx) N	mrzx N
mrzy) X	mrzy) X
mrzyb) N	mrzyb N
mrzpt) N	mrzph N
mrx V	mrx#2 V
mrxm) N	mrxm N
mrxmnwt) N	mrxmnw N
mrxq A	mrxq A
mrx$wwn N	mrx$wwn N
mr+ V	mr+ V
mr+) N	mr+#2 N
mr+w+) N	mr+w+ N
mr++ V	mr++#2 V
mry V	mry V
mry@)r() N	mry N
mry@byry)t) N	mry N
mry@byt) N	mry@by N
mry@dwr)	mry@dwr) N
mry@dwr) N	mry@dwr) N
mry@dywr)	mry@dywr) N
mry@dywr) N	mry@dywr) N
mry@dyky	mry@dyky N
mry@zyn) N	mry@zyn N
mry@xwb) N	mry@xwb N
mry@xy+y) N	mry@xy+y) N
mry@xy+y N	mry@xy+y) N
mry@kwl)	mry@kwl) N
mry@kwl) N	mry@kwl) N
mry@mt) N	mry@mh N
mry@nyksy N	nksyn N
mry@(lm) N	mry@(lm) N
mry@r$wt) N	mry@r$w N
mry@$my) N	mry@$my) N
mry@$my)@w)r() N	mry@$my)@w)r( N
mry) N	mry N
mryb) N	mryb N
mrydt) N	mrydh N
mryh@d(wbd) N	mry N
mryzy >	mryzy >
mryzy N	mryzy N
mry( A	mry( A
mryr A	mryr A
mry$ X	mry$ X
mry$) X	mry$) X
mrkbt) N	mrkbh N
mrmhwz N	mrmhwz N
mrmxwz N	mrmxwz N
mrmyc) N	mrmyc) N
mrmyct) N	mrmyct) N
mrmr) N	mrmr N
mrn) >	mrn) >
mrs V	mrs V
mr( V	mr( V
mr() N	mr( N
mr(y >	mr(y >
mr(yzy >	mr(yzy >
mr(yzy N	mr(yzy N
mrq V	mrq V
mrq#2 A	mrq A
mrq) N	mrq A
mrr V	mrr V
mrr) N	mrr N
mrryt) N	mrry N
mrrt) N	mrrh N
mrt) N	mrh N
mrt)#2 N	mrh#2 N
mrtk) N	mrtk N
m$)r) >	m$)r) >
m$)r) N	m$r N
m$bzg >	m$bzg >
m$b$ A	m$b$ A
m$drn) N	m$drn N
m$h I	m$h I
m$wwrt) N	m$wrt) N
m$wx)h N	m$wx)h N
m$wm p	m$wm p
m$wm c	m$wm c
m$wm@lt_ p	m$wm p
m$wm@lt) p	m$wm p
m$wnyt) N	m$wny N
m$x V	m$x V
m$x#2 V	m$x#2 V
m$x) N	m$x N
m$xt) N	m$xh N
m$y V	m$y V
m$yb) N	m$yb) N
m$ybh N	m$ybh N
m$yx) N	m$yx N
m$yk A	m$yk A
m$ykwt) >	m$ykwt) >
m$ykl) N	m$kyl N
m$k V	m$k V
m$k#2 V	m$k#3 V
m$k#3 V	m$k#2 V
m$k) N	m$k N
m$k)#2 N	m$k#2 N
m$kb) N	m$kb N
m$kbt) N	m$kbh N
m$kwn) N	m$kwn N
m$kzg N	m$kzg N
m$kylt) N	m$kylh N
m$kn V	m$kn V
m$kn) N	m$kn N
m$knt) N	m$knh N
m$lm A	m$lm A
m$lmn) N	m$lmn A
m$md) N	m$md N
m$mw+) N	m$mw+ N
m$m() N	m$m( N
m$m(t) >	m$m(t) >
m$mr) N	m$mr N
m$mrt) N	m$mrh N
m$m$ V	m$m$ V
m$m$) N	m$m$ N
m$mtt) N	m$mtt) N
m$nywt) N	m$nyw N
m$(bd) N	m$(bd N
m$qd) >	m$qd) >
m$qy)n) N	m$qyn N
m$qypwt) N	m$qypw N
m$ql) N	m$ql N
m$qr) N	m$qr N
m$r) N	m$r N
m$ryt) N	m$ry N
m$$) N	m$$ N
m$twq) N	m$twq N
m$ty) N	m$ty N
m$tyt) N	m$tyt N
mt) N	mt N
mt)kl) >	mt)kl) >
mt)r) >	mt)r) >
mt)r) N	mtwr N
mtbr) N	mtbr N
mtw)r) N	mtw)r) N
mtwkylt) N	mtwkylh N
mtwkylt)#2 N	mtwkylh N
mtwn A	mtwn A
mtwn) N	mtwn A
mtwrgmn) N	mtwrgmn N
mtwty p	mtwty p
mtx V	mtx V
mtxwt p	mtxwt p
mtxl) N	mtxl N
mtxt) N	mtxh N
mtybt) N	mtybh N
mtybt)#2 N	mtybh#2 N
mtyy) N	m)ty N
mtyym A	t)m V
mtl V	mtl V
mtl#3 N	mtl#3 N
mtl)#2 >	mtl)#2 >
mtl) N	mtl N
mtmh N	mtmh N
mtmh A	mtmh A
mtmh) A	mtmh A
mtn#2 0	mtn#2 0
mtn V	mtn V
mtn) N	mtn N
mtny N	mtny N
mtny#2 N	mtny#2 N
mtnyt) N	mtny N
mtnt) N	mtnh N
mtq V	mtq V
mtqwlt) N	mtqwlh N
mtql) N	mtql N
mtqn A	mtqn A
mtqnt) N	mtqnh N
mtr) N	mtwr N
mtrgmn) >	mtrgmn) >
mtrc A	mtrc A
mtrct) N	mtrch N
mtt)y X	mtxty A
mtty A	mtty A
n)b) N	n)b N
n)l) N	n)l N
n)ny N	n)ny N
n)c) N	n)c N
n)qt) N	n)qh N
n)r V	n)r V
n)rng N	n)rng N
n)t) N	n)t) N
nb) N	nb N
nb)r) N	nb)r N
nbg V	nbg V
nbg) N	)nbg N
nbw)t) N	nbw)h N
nbx V	nbx V
nb+ V	nb+ V
nby V	nby V
nby#2 V	nby#2 V
nby)wt) N	nbyw N
nby)y N	nby N
nbyd) N	nbyd N
nbyy) N	nby N
nbylt) N	nbylh N
nbl V	nbl V
nb( V	nb( V
nbr) N	nbr N
nbrz) N	nbrz N
ng)ny N	ng)ny N
ng)r) N	ng)r N
ngb V	ngb V
ngd V	ngd V
ngd)#2 >	ngd)#2 >
ngd) N	ngd N
ngh V	ngh V
ngh#2 V	ngh V
ngh) N	ngh N
nghq) N	nghq N
ngwd#3 N	ngwd#3 N
ngwd) N	ngwd#2 N
ngws+r) N	ngws+ry N
ngx V	ngx V
ngx) N	ngx A
ngxn) N	ngxn N
ngxq) N	ngxq) N
ngyd) N	ngyd N
ngyd)#2 N	ngyd#2 N
ngy+) N	ngy+ N
ngw+) N	ngy+ N
ngny N	ngny N
ng( V	ng( V
ng(#2 V	ng(#3 V
ng() N	ng( N
ngp >	ngp >
ngr N	ngr N
ngr) N	ngr N
ngr)#2 N	ngr#2 N
ndb V	ndb V
ndwny) N	ndwnyh N
ndy V	ndy V
ndy#2 V	ndy#2 V
ndy#3 V	ndy#2 V
ndsrwb N	ndsrwb N
ndp >	ndp >
ndr V	ndr V
ndrn) N	ndrn N
nhg V	nhg V
nhwr) N	nhwr N
nhwrt) N	nhwryt) N
nhwrt)#2 N	nhwrt)#2 N
nhy >	nhy >
nhyl A	nx#2 N
nhyr A	nhyr A
nhl V	nxl V
nhm V	nhm V
nhm) N	lxm N
nhr#3 >	nhr#3 >
nhr V	nhr V
nhr#2 V	nhr#2 V
nhr@pp)h A	nhr@ppy A
nhr@ppy A	nhr@ppy A
nhr) N	nhr N
nhrbyl)h A	nhrbyly A
nhrbyly A	nhrbyly A
nhrbl)h A	nhrbly A
nhrd)h A	nhrdy A
nhrd()h A	nhrd(y A
nwgh) >	nwgh) >
nwghy N	nghy N
nwd V	nwd V
nwwl V	nwl V
nwwl#2 V	nwl#3 V
nwwl) N	nwwl N
nwwl)#2 N	nwwl) N
nwx V	nwx V
nwkr) A	nwkr) A
nwkr)h A	nwkry A
nwm V	nwm V
nwn N	nwn N
nwn) N	nwn N
nws V	nws V
nwsx) N	nwsx N
nwp V	nwp V
nwqb) N	nwqb) N
nwqbt) N	nwqbh N
nwr) N	nwr N
nwr)#2 N	nwr#2 N
nwryt) N	nwrh N
nwryt)#2 N	nwrh N
nzh V	nzh V
nzh#2 V	nzh#2 V
nzz >	nzz >
nzx V	nzx V
nzy N	nzy N
nzy) N	nzy) N
nzyz A	nzyz A
nzyzwt) N	nzyzw N
nzypwt) N	nzypw N
nzyr) N	nzyr N
nzyrwt) N	nzyrw N
nzyt) N	nzy N
nzp V	nzp V
nzq V	nzq V
nzr V	nzr V
nx)$) N	nx)$ N
nxwt) N	nxwt N
nxwty@ym) N	nxwty@ym N
nxyr) N	nxyr N
nxl) N	nxl N
nxm V	nxm V
nxmt) N	nxmh N
nxr V	nxr#2 V
nxr#2 V	nxr V
nx$ V	nx$ V
nx$) N	nx$#3 N
nx$)#2 N	nx$#2 N
nxt V	nxt V
nxt#2 V	nxt#2 V
nxt N	nxt N
nxtwm) N	nxtwm N
n+wpt) N	n+wph N
n+wr) N	n+wr N
n+y V	n+y V
n+ylwt) N	n+ylw#2 N
n+yr) N	n+yr N
n+yrwt) N	n+yrw N
n+l V	n+l V
n+l#2 V	n+l#2 V
n+l) N	n+l N
n+( V	n+( V
n+() N	n+( N
n+p V	n+p V
n+p) >	n+p) >
n+py N	n+pyn N
n+pyq >	n+pyq >
n+r V	n+r V
n+r) N	n+r#2 N
n+rt) N	n+rh N
n+$ >	n+$ >
ny@l_ p	ny@l_ p
ny)q) N	ny)q) N
nyb) N	nyb N
nyb)#2 N	nyb#2 N
nybg) N	nbg N
nybwl) N	nybwl N
nygd) N	ngd#4 N
nyg() N	nyg( N
nygr) N	ngr#6 N
nygr)#2 N	nygr)#3 N
nygr)#3 N	ngr#4 N
nydwt) N	nydwt) N
nydr) N	ndr N
nyh@l_ p	nyh@l_ p
nyhw R	nyhw R
nyhy R	nyhy R
nyhl_ p	nyhl_ p
nyhl) N	nyhl) N
nywd) N	nywd N
nywt)h A	nywty A
nyzb) >	nyzb) >
nyzg N	nyzg N
nyzh) N	nyzh N
nyzq) N	nzq N
nyx A	nyx A
nyxwt) N	nyxw N
nyxl) N	nyxl) N
ny+wpt) N	ny+wph N
ny+p) N	ny+p) N
nyyd) N	nyyd N
nyyx) N	nyx N
nyyxt) N	nyxh N
nyyr) N	nyyr N
nykl) N	nykl N
nyksy N	nksyn N
nykpy N	nykpy N
nyl_ p	nyl_ p
nym >	nym >
nym) N	nym#2 N
nynhw R	nynhw R
nynhy R	nynhy R
nyny) N	nyny) N
nys) N	ns N
nys)#2 N	nys)#2 N
nys)ny N	nys)ny N
nysxn) N	nsxny N
nsxn) N	nsxny N
nysk) N	nysk N
nysk)#2 N	nysk)#2 N
nysn N	nysn N
nysr) N	nsr#2 N
nypx) N	npx#3 N
nyp+) N	nyp+ N
nypl) N	npl N
nypc) N	nypc N
nypq) N	npq N
nypr) N	nypr) N
nycxn A	nycxn A
nycp) N	nycp) N
nyqb) N	nqb N
nyqbt) N	nqbh N
nyqwr) N	nyqwr N
nyq() N	nyq( N
nyqr) N	nyqr N
nyr V	nwr#3 V
nyr) N	nyr N
nyr)#2 N	nyr#2 N
nyrb) N	nyrb) N
ny&w)y N	n&w)yn N
ny$m) N	ny$m) N
ny$mt) N	ny$mh N
ny$qy N	ny$qy N
ny$trwp) N	ny$trwp) N
n$trwp) N	ny$trwp) N
nytw)h A	nytwy A
nky V	nky V
nky A	nky A
nkyt) N	nkyt) N
nkl V	nkl V
nks V	nks V
nks)t) N	nks)h N
nkst) N	nksh N
nkr V	nkr V
nkry V	nkry V
nk$ V	nk$ V
nkt V	nkt V
nktm) N	nktm) N
nl) N	nl N
nm X	nm X
nm+) N	nm+ N
nmy X	nmy X
nmyl) N	nmyl) N
nmq) N	nmq N
nmr) N	nmr N
nnh) N	nnh N
nnx) N	nnx N
ns)k) N	ns)k N
ns)r) N	ns)r N
nsb V	nsb V
nswby) N	nswby) N
nsx V	nsx V
nsx) >	nsx) >
nsy V	nsy V
nsy#2 V	nsy#2 V
nsy#3 V	nsy#3 V
nsy) N	nsy N
nsyb >	nsyb >
nsywb) N	nsywby N
nsywn) N	nsywn N
nsys) N	nsys N
nsk V	nsk#2 V
nsk) N	nsk N
nss V	nss V
nsr V	nsr V
nsr) N	nsr N
n(w) N	n(w N
n(wr) N	n(wr N
n(l V	n(l#2 V
n(myt) N	n(my N
n(mt) N	n(mh N
n(r V	n(r V
n(r#2 V	n(r#2 V
n(rwt) N	n(rw N
n(t) N	n(h N
np)x) N	np)x N
npx V	npx V
npx) N	npx N
np+) N	np+ N
np+wy) N	np+wy N
npy) N	npy N
npyx A	npyx A
npy$ A	npy$ A
npy$ X	npy$ X
npl V	npl V
nps V	nps V
nps) N	nps#3 N
npp V	npp V
nppwt) N	nppwt) N
nppyt) N	nppy N
npc V	npc V
npc) N	npc N
npq V	npq V
npq) N	npq N
npqt) N	npqh N
npr) N	npr)#3 N
nprz) N	nprz) N
np$ V	np$ V
np$) N	np$ N
nc)#4 >	nc)#4 >
nc) N	nc#3 N
nc)#2 N	nc#2 N
nc)#3 N	nc#3 N
ncb V	ncb V
ncb)@dqny N	ncb)@dqny N
ncy V	ncy V
ncl V	ncl V
ncp V	ncp V
ncc V	ncc V
ncr V	ncr V
nqb V	nqb V
nqd >	nqd >
nqd V	nqd#2 V
nqdn) >	nqdn) >
nqwb) N	nqwb N
nqwdt) N	nwqdh N
nqw+)y N	nqw+)y N
nqwr) N	nqwr) N
nqwr)#2 N	nqwr)#2 N
nq+ V	nq+ V
nq+h N	nq+h N
nq+t) N	nq+h N
nqy V	nqy V
nqy A	nqy A
nqy) N	nqy N
nqyd A	nqyd A
nqyr A	nqyr A
nqyr) >	nqyr) >
nqyrt) N	nqyrh N
nqy$ A	nq$ N
nqp V	nqp#2 V
nqp#2 V	nqp#3 V
nqp#3 V	nqp V
nqr V	nqr V
nqrn) N	nqrn N
nq$ V	nq$ V
nq$) N	nq$ N
nr) N	nr N
nr)z) N	nr)z N
nrg) N	nrg N
nrgyl) N	nrgyl N
nrd) N	nrd N
nrd$yr N	nrd$yr N
nrz) N	nrz) N
nrzb) N	nrzb) N
nrqys N	nrqys N
nrqm) N	nrqm) N
nrqs N	nrqs N
nr$)h A	nr$y A
n&y)h N	nsy#2 N
n&y)wt) N	n&yw N
n$) N	n$) N
n$b V	n$b V
n$b) N	n$b N
n$dwr >	n$dwr >
n$wwr) N	n$wr N
n$wqt) N	n$yqh N
n$+ V	n$+ V
n$+) N	n$+ N
n$y V	n$y V
n$y#2 V	n$y#2 V
n$y#3 V	n$y#3 V
n$yp A	n$yp A
n$k >	n$k >
n$m V	n$m V
n$m) N	n$m N
n$mt) N	n$mh N
n$stg N	n$stg N
n$p V	n$p V
n$p#2 V	n$p#2 V
n$p) N	n$p#3 N
n$q V	n$q V
n$q) N	n$q) N
n$qy N	n$qy N
n$r V	n$r V
n$r) N	n$r N
n$ts V	n$ts V
n$tp V	n$tp V
ntb V	ntb#2 V
ntx V	ntx V
ntydzwr N	ntydzwr N
ntyn) A	ntyny N
ntyn)h A	ntyny N
ntn V	ntn V
ntq V	ntq V
ntr V	ntr V
s)b V	s)b V
s)b#2 V	s)b#2 V
s)b) N	s)b N
s)m >	s)m >
s)s) >	s)s) >
s)s) N	s)s) N
s)t) N	s)h N
sb A	sb A
sb) N	sb N
sbd V	sbd#2 V
sbwr)y N	sbwry N
sby V	sby V
sby) N	sby N
sbysq N	sbysq N
sbyr A	sbyr A
sbk V	sbk V
sbkt) N	sbkh N
sbl V	sbl V
sbl#2 V	sbl V
sblt) N	sblh N
sbnyt) N	sbny N
sb( >	sb( >
sb( V	sb( V
sbr V	sbr V
sbr) N	sbr N
sbt) N	sbh N
sbty N	sbty N
sgd V	sgd V
sgd@w)kl N	sgd@w)kl N
sgy V	sgy V
sgy#2 V	sgy#3 V
sgy#3 V	sgy#4 V
sgy A	sgy A
sgy@nhwr) N	sgy@nhwr) N
sgyd@w)kyl N	sgyd@w)kyl N
sgywt) N	sgyw N
sgr V	sgr V
sd) N	sd N
sd)h N	sdy A
sd)n) N	sd)n N
sdy A	sdy A
sdy) N	sdy) N
sdyn) N	sdyn#2 N
sdn)#2 >	sdn)#2 >
sdn) N	sdn N
sdn)@d)r() N	sdn)@d)r( N
sdn)@dmy) N	sdn)@dmy N
sdn)@dpxr) N	sdn)@dpxr N
sdn)@dryxy) >	sdn)@dryxy) >
sdq V	sdq V
sdr V	sdr V
sdr@ywm) N	sdr@ywm N
sdrwt) N	sdrw N
sdrn) N	sdrn N
shd V	shd V
shd) N	shd N
shdwt) N	shdw N
shl N	shl N
swbysk N	swbysk N
swbr V	swbr#2 V
swbr#2 V	swbr V
swg >	swg >
swg) N	swg N
swgy)#2 >	swgy)#2 >
swgy) N	swgy N
swgyyny N	swgyyny N
swd)n) N	swd)n N
swd)r) N	swd)r N
swdm) N	swdm N
swdn) N	swdn N
swdr) N	swdr N
swhryn N	swhryn N
swwr) N	swwr) N
swxrn) N	swxrn) N
sw+ V	sw+ V
sw+) N	sw+) N
swy V	swy V
swk V	swk V
swk#2 V	swk#2 V
swk) N	swk N
swkltnwt) N	swkltnw N
swkr) N	swkr N
swkt) N	swkh N
$wk) N	swk N
swlm) N	swlm N
swlt) N	swlt N
swm V	swm#2 V
swm)q A	swm)q A
swmk) N	smwk#2 N
swmq N	swmq N
swmq A	swmq A
swny) N	swny N
sws)n N	sws)n N
swsbyl N	swsbyl N
swsgnyt) N	ssgwnyt) N
ssgwn) n	ssgwn N
sws+myn N	sws+myn N
swsy) N	swsy N
swskynt) >	swskynt) >
swst) N	swsh N
sw(d) N	sw(d) N
swp@swp X	swp N
swp) N	swp N
swp X	swp N
swpl) N	swpl N
swptq A	swptq A
swr V	s(r V
swr#2 V	swr V
swr) N	swr) N
swr)#2 N	swr)#2 N
swr)h A	swry A
swrb)l) N	swrb)l N
swryyq) >	swryyq) >
swrm+) N	swrm+) N
swrms) >	swrms) >
swrs)h A	swrsy A
swrsy A	swrsy A
sx)y) N	sx)y N
sxwp#2 N	sxwp#2 N
sxwr@sxwr X	sxwr@sxwr X
sxwrt) N	sxwrh N
sx+ V	sx+ V
sxy V	sxy V
sxy) N	sxy N
sxyy) N	sxy A
sxyp A	sxp V
sxl) N	sxl N
sxn) >	sxn) >
sxp V	sxp V
sxp#2 N	sxp#2 N
sxp) N	sxp N
sxr V	sxr V
s+)m) N	s+)m N
s+wm) N	s+wm) N
s+y V	s+y V
s+y A	s+y A
s+m V	s+m#2 V
s+n V	s+n V
s+n) N	s+n N
s+r V	s+r V
sy)m) N	sym N
sy)nq) >	sy)nq) >
sy)ryn N	sy)ryn N
syb A	syb A
sybwr) N	sybwry N
sybwt) N	sybw N
syb+) >	syb+) >
sybt) >	sybt) >
sybt) N	sybh N
syglt) N	sglt) N
sygly N	sglt) N
sygn) N	sgn N
syd V	syd V
syd) N	syd N
sydwr) N	sydwr N
sydr) N	sdr N
syhr) N	shr N
syw+) N	syw+ N
sywm) N	sywm#2 N
sywn N	sywn N
syxwp) N	sxwp#2 N
syxp) N	sxp#2 N
sy+wmt) N	sy+wmh N
sy+r) N	s+r N
sy+r)y A	s+ry A
sy+r)y N	s+ry A
syy)n) N	syy)n N
syyb) A	syw A
syyg) N	syyg N
syyw A	syyw A
syym V	syym#3 V
syym#2 V	syym#2 V
syyn) N	syyn N
syynq) N	synq N
syy( V	syy( V
syy(t) N	syy(h N
syyp) N	syyp N
syyp)#2 N	syyp#2 N
syyr) N	syr) N
syks) N	syks) N
sykr) N	sykr N
sykt) N	skh N
syb) N	skh N
sylw) N	slw#2 N
sylwn) N	sylwn N
sylyt) N	sylyh N
sylyt)#2 N	sylyh#2 N
syl() N	syl( N
sylq) N	slq N
sylt)#2 >	sylt)#2 >
sylt) N	sylt) N
sym) N	symh N
symdr) N	smdr N
symwny) N	symwny) N
sym+) N	sym+) N
sym+)#2 N	sym+h N
symlq N	symlq N
symn) N	symn N
symnyt) N	symwny) N
sympwn) N	sympwn#2 N
symr) N	symr) N
symrt) N	smdr N
syn) N	syn N
synyrwx) N	synyrwx N
synp) N	synp N
synpwn) N	synpwn N
synr) >	synr) >
sys) N	sys N
sysy) >	sysy) >
sysyn N	sysyn N
sysn) N	sysn#2 N
sysn)#2 N	sysn) N
sy(t) N	sy(h N
syp) N	syp N
syp)#2 N	sp N
syp)#3 N	syp) N
sypwn) N	sypwn N
sypwsq) N	sypwsq N
sypwq) N	sypwq N
syp+) >	syp+) >
sypr) N	spr N
sypr)@dby@rb N	spr N
sypt) >	sypt) >
sypt) N	sph N
sypt)#2 N	sph#3 N
syql) >	syql) >
syqr A	syqr A
syqr) N	syqr) N
syr) N	syr) N
syrwg) N	syrwg) N
syrwk) N	srwk N
syrx) N	srx N
syrk) N	syrk) N
syrk)#2 N	srk#3 N
syrp) N	syrp) N
sytww) N	stw N
sytr) N	sytr N
sk N	sk N
sk) N	sk N
sk)k) N	sk)k N
skwl)h N	skwly A
sky V	sky V
sky#2 V	sky#2 V
skyn) N	skyn N
skys A	skys A
skk V	skk V
skk) N	skk N
skl V	skl#2 V
skl#2 V	skl V
skl A	skl N
skl) N	skl N
skm V	skm V
skn V	skn V
skn) N	skn) N
sknt) N	sknh N
skr V	skr V
sl) N	sl N
slw) >	slw) >
slyq A	slyq A
slyqwst) N	slyqwst) N
slyqwt) N	slyqw N
slm) N	slm N
sl() N	sl( N
sl(m V	sl(m V
slq V	slq V
slq#2 V	slq#2 V
slt V	slt#2 V
slt#2 V	slt V
slt) N	slh#2 N
sm) N	sm N
sm)@dmwt)/dmytwt) N	sm N
sm)k) N	sm)k N
smd) N	smd N
smy V	smy V
smy) N	smy N
smyd) N	smyd N
smydt) >	smydt) >
smywyt N	smywyt N
smyk A	smyk A
smyt) N	smy N
smk V	smk V
smk N	smk N
smk) N	smk#2 N
smlq N	symlq N
smn V	smn V
sms V	sms V
smq V	smq V
smr V	smr V
smr+w+) >	smr+w+) >
smtry >	smtry >
smtry N	smtryn N
sn) >	sn) >
sn) N	sn N
sn)h N	sn)h N
sn)yhwn@dy&r)l N	sn)yhwn@dy&r)l N
sn)t) N	sn)h N
snd V	snd V
sndl) N	sndl N
sndrws N	sndrws N
sndry N	snhdryn N
snhdr) N	snhdry A
snwwrt) N	snwrt N
snwwt)h >	snwwt)h >
snwq I	snwq I
sny V	sny V
sny A	sny A
sny)@dyb) N	sny@dybyn N
sny)@dyby N	sny@dybyn N
snywt) >	snywt) >
snn >	snn >
snp V	snp V
snp) N	snp) N
snr V	snr V
ss) N	s)s) N
s(d V	s(d V
s(wdt) N	s(wdh N
s(yr) N	s(yr N
s(r V	s(r V
s(r) N	s(r N
sp) N	sp)#3 N
sp)l) N	sp)l N
sp)n) N	sp)n N
spg V	spg V
spd V	spd V
spd) N	spd#4 N
spdn) N	spdn N
spwn) N	spwn) N
sp+) N	sp+ N
spy V	spy#2 V
spy#2 V	spy#3 V
spyd) N	spyd N
spyn A	spn V
spynt) N	spynh N
spyq) N	spq N
spyqt) N	spyqh N
spyrwt) N	spyrw N
spkt) N	spkh N
spl) N	spl) N
spm) >	spm) >
spn V	spn#2 V
spn) N	spn N
spsyr) N	spsyr N
spsyr)#2 N	spsyr#2 N
spsl) N	spsl N
spsq) N	sypwsq N
spsr V	spsr V
spsr) >	spsr) >
spsr) N	spsr N
spsrwt) N	spsyrw N
spp V	spp V
spq V	spq#2 V
spq#2 V	spq V
spr V	spr#2 V
spr#2 V	spr V
spr) N	spr#2 N
spr)#2 N	spr@mt) N
spr@mt) N	spr@mt) N
spr)#3 N	spr#3 N
spt V	spt V
sq) N	sq#2 N
sqb V	sqb V
sqb) N	sqb N
sqbn) N	sqbn N
sqw+l) >	sqw+l) >
sqwl)h N	sqwl#2 N
sqwsn)h A	sqwsny A
sql V	sql V
sql#2 V	sql#2 V
sqr V	zqr V
sqrt) N	sqrh N
sr) >	sr) >
sr) N	sr N
sr)g) N	sr)g N
srb V	srb V
srb)l) N	srb)l N
srbl) N	srbl N
srbl)#2 N	srbl N
srg V	srg V
srg) N	srg N
srgl V	srgl V
srgl) N	srgl N
srd) N	srd N
srhb V	srhb V
srhby) N	srhby N
srwdt) N	srwdh N
srx V	srx V
srx#2 V	srx#2 V
sr+ V	sr+ V
sry V	sry V
sry A	sry A
sryq A	sryq A
