rashei_tevot,expanded,context_before,context_after
שאי,שאינו יודע,הזאת הגה ומי,בלשון הקדש
בלהק,בלשון הקדש,ומי שאינו יודע,יוכל לאמרו
מיוט,מיום טוב,ולמעבד כל צרכנא,לשבת לנא
מיוט,מיום טוב,אינו יכול לבשל,ראשון לשבת
ויא,ויש אוסרים,נר של שבת,מי שלא
ויא,ויש אומרים,דולק עד הלילה,דאפלו לבשל
ויא,ויש אומרים,צריך לומר כלום,דאי לית
עת,על תנאי,אינו יכול לערב,אבל אם
ויא,ויש אוסרים,נר של שבת,מי שלא
ויא,ויש אומרים,דולק עד הלילה,דאפלו לבשל
ויא,ויש אומרים,צריך לומר כלום,דאי לית
יוט,יום טוב,,אינו צריך
אצ,אינו צריך,יום טוב,ערובי חצרות
יוט,יום טוב,בהלכות ערובי תחומין,שחל להיות
