													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Metzudat David on Jonah	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Yonah,Metzudat David on Jon.,Metzudat David on Jon	מצודת דוד על יונה		Commentary,Tanach,Prophets,Jonah
Metzudat David on Joshua	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Jos,Metzudat David on Yehoshua,Metzudat David on Jos.,Metzudat David on Josh,Metzudat David on Josh.	מצודת דוד על יהושע		Commentary,Tanach,Prophets,Joshua
Metzudat David on Judges	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Shoftim,Metzudat David on Jdg,Metzudat David on Judg,Metzudat David on Jdg.,Metzudat David on Judg.	מצודת דוד על שופטים		Commentary,Tanach,Prophets,Judges
Metzudat David on Malachi	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Mal.,Metzudat David on Mal	מצודת דוד על מלאכי		Commentary,Tanach,Prophets,Malachi
Metzudat David on Micah	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Mic.,Metzudat David on Mic,Metzudat David on Mikha	מצודת דוד על מיכה		Commentary,Tanach,Prophets,Micah
Metzudat David on Nahum	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Nah.,Metzudat David on Nah	מצודת דוד על נחום		Commentary,Tanach,Prophets,Nahum
Metzudat David on Nehemiah	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Neh.,Metzudat David on Neh	מצודת דוד על נחמיה		Commentary,Tanach,Writings,Nehemiah
Metzudat David on Obadiah	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Ovadiah	מצודת דוד על עובדיה		Commentary,Tanach,Prophets,Obadiah
Metzudat David on Proverbs	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20	Jaworów, Poland	1753-1754	Zolkiev	Achronim	Metzudat David on Prov,Metzudat David on Pro,Metzudat David on Prov.,Metzudat David on Mishlei,Metzudat David on Pro.	מצודת דוד על משלי		Commentary,Tanach,Writings,Proverbs
Metzudat David on Psalms	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20	Jaworów, Poland	1753-1754	Zolkiev	Achronim	Metzudat David on Ps,Metzudat David on Ps.,Metzudat David on Psa,Metzudat David on Tehilim,Metzudat David on Psa.,Metzudat David on Psalm,Metzudat David on Tehillim	מצודת דוד על תהילים	מצודת דוד על תהלים	Commentary,Tanach,Writings,Psalms
