French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"הילמי/שלמויר""א",Shabbat 108a,Rashi on Shabbat 108a:13:1,,"373 שבת קח. <b>הילמי</b><br>שלמויר""א salmuire <b>מי מלח (של שימורים)</b><br><small>ראה לעיל מס' 30.$
</small>","(108a:13:1) מתני' הילמי - שלמוייר""א:"
"קילורין/לוזי""א",Shabbat 108a,,,"374 שבת קח. <b>קילורין</b><br>לוזי""א luzie <b>משחה לעין חולה</b><br><small>ראה לעיל מס' 118.$
</small>"
"כוסילתא/פלימיא""ה",Shabbat 108b,Rashi on Shabbat 108b:13:4,,"375 שבת קח: <b>כוסילתא</b><br>פלימיא""ה flemie <b>איזמל (להקזת דם)</b><br><small>$
</small>","(108b:13:4) לחסודה - ריבדא דכוסילתא פלימא""ה בלע""ז:"
"כוסברתא/אליינדר""א",Shabbat 109a,Rashi on Shabbat 109a:2:3,,"376 שבת קט. <b>כוסברתא</b><br>אליינדר""א aliendre [alliendre] <b>כוסבר</b><br><small>ר' בלונדהיים ב' (ע' 68-67) ומילונו של לוי (מס' 43), וכן בלונדהיים פ' (ע' 38). בלונדהיים גורס alliendre, בניגוד לרוב עדויות כתבי-היד.$
</small>","(109a:2:3) כוסברתא - אלייאנדר""א:"
"גרגירא/אורוג""א",Shabbat 109a,Rashi on Shabbat 109a:2:5,,"377 שבת קט. <b>גרגירא</b><br>אורוג""א oruge [orugue] <b>אורה</b><br><small>צמח המובא במלכים ב' ד', ל""ט והמכונה היום בן-חרדל. בבלונדהיים א' יש לתקן כמובן orug[u]e, ור' בלונדהיים פ' (ע' LXXXV).$
</small>","(109a:2:5) גרגירא - אורוג""א:"
"חטטין/מלנ""ץ",Shabbat 109b,Rashi on Shabbat 109b:2:2,,"378 שבת קט: <b>חטטין</b><br>מלנ""ץ malanz <b>פצעים</b><br><small>ראה לעיל מס' 5.$
</small>","(109b:2:2) חטטין - מאלנ""ץ:"
"יועזר/פוליו""ל",Shabbat 109b,Rashi on Shabbat 109b:6:1,Rashi on Shabbat 109b:4:2,"379 שבת קט: <b>יועזר</b><br>פוליו""ל poliol <b>סוג של נענה</b><br><small>$
</small>","(109b:6:1) פותנק - בלע""ז פולא""ל:"
"הגים/רונצי""ש",Shabbat 109b,"Rashi on Shabbat 109b:5:2,
Rashi on Shabbat 109b:11:3",,"380 שבת קט: <b>הגים</b><br>רונצי""ש ronces <b>קוצים</b><br><small>ראה לעיל מס' 100.$
</small>","(109b:5:2) איזביון - דמתניתין הוא שקורין אברתא בר הינג ויש מרבותי מפרשים בר המג שגדל במקום גמי בר הינג שגדל בין ההגים רונצ""ץ:,
(109b:11:3) גובי - חתיכות חתיכות יצא הנחש ממנו: גובי טרונצו""ץ בלע""ז:"
"מרוא  חיורא/שלי""א",Shabbat 109b,Rashi on Shabbat 109b:5:3,,"381 שבת קט: <b>מרוא  חיורא</b><br>שלי""א salje <b>מרווה (צמח)</b><br><small>$
</small>","(109b:5:3) עולא אמר - אזוב דאורייתא הוא מרוא חיורא בלע""ז שלוי""א:"
"פותנק/פוליו""ל",Shabbat 109b,Rashi on Shabbat 109b:6:1,,"382 שבת קט: <b>פותנק</b><br>פוליו""ל poliol <b>סוג של נענה</b><br><small>$
</small>","(109b:6:1) פותנק - בלע""ז פולא""ל:"
"רוביא/פינוגר""י",Shabbat 109b,Rashi on Shabbat 109b:6:7,,"383 שבת קט: <b>רוביא</b><br>פינוגר""י fenogre <b>חילבה (גרגרנית יוונית, צמח המשמש לתבלין)</b><br><small>$
</small>",(109b:6:7) רוביא - תילתן פינגרי:
"תחלי/קרישו""ן",Shabbat 109b,Rashi on Shabbat 109b:7:2,,"384 שבת קט: <b>תחלי</b><br>קרישו""ן creson [cresson] <b>שחליים</b><br><small>$
</small>","(109b:7:2) תחלי - שחלי כרישו""ן:"
"אפשיחה/אישינבריי""ר",Shabbat 109b,,Rashi on Shabbat 109b:7:10,"385 שבת קט: <b>אפשיחה</b><br>אישינבריי""ר esenbrajier <b>לגזום, לדלל</b><br><small>מלשון branje=branche, ענף, עם קדומת כפולה ונפילת n אחת מחמת דיסימילציה, רפאל לוי מסביר, למה אין כאן esbranjier כפי שאפשר היה לצפות, ר' במילונו (מס' 275).$
</small>","(109b:7:10) מפני אפשיחה - מקום שנפשח הדקל אישברנקי""ר:"
"גובי/טרונצונ""ש",Shabbat 109b,Rashi on Shabbat 109b:11:3,,"386 שבת קט: <b>גובי</b><br>טרונצונ""ש troncons <b>קטעים</b><br><small>$
</small>","(109b:11:3) גובי - חתיכות חתיכות יצא הנחש ממנו: גובי טרונצו""ץ בלע""ז:"
"טבלא/אישקיליט""א",Shabbat 110a,Rashi on Shabbat 110a:1:4,,"387 שבת קי. <b>טבלא</b><br>אישקיליט""א eschelete <b>פעמון</b><br><small>$
</small>","(110a:1:4) דכי נח נפשיה דרב גזר רב יצחק - שיהיו ממעטים משמחה אותה שנה ולא יהא אדם מביא אסא וגידמי להילולא בטבלא שהיו רגילים להביא הדס וענפי דקלים לשמוח לפני החתן והכלה וכשמביאים אותן לפניהם מקשקשים לפניהם בשוק בבואם בתופים וזוגין טבלא אשקליט""א וגזר שלא יקשקשו לפניהם עוד:"
"צבתא/טינליי""ש",Shabbat 110a,Rashi on Shabbat 110a:4:13,,"388 שבת קי. <b>צבתא</b><br>טינליי""ש (tenalies) [tenailles] <b>צבת</b><br><small>ההטעמה על האות a, והצירוף li הוא מעין עיצור.$
</small>","(110a:4:13) צבתא - איטנליי""ש:"
"צלף/קפריי""ר",Shabbat 110a,Rashi on Shabbat 110a:5:3,,"389 שבת קי. <b>צלף</b><br>קפריי""ר caprier <b>שיח-צלף</b><br><small>ר' בלונדהיים ב' (ע' 137-134).$
</small>","(110a:5:3) צלפים - פרי של צלף קפריי""ר:"
"גביא גילא/אלו""ם",Shabbat 110a,Rashi on Shabbat 110a:8:2,,"390 שבת קי. <b>גביא גילא</b><br>אלו""ם alum <b>צָריף</b><br><small>ראה לעיל מס' 185.$
</small>","(110a:8:2) גביא גילא - אלו""ם בלע""ז:"
"כורכמא רישקא/קרו""ג אוריינטי""ל",Shabbat 110a,Rashi on Shabbat 110a:8:3,,"391 שבת קי. <b>כורכמא רישקא</b><br>קרו""ג אוריינטי""ל כרכום (קורטם?) מזרחי <b>orientel crog</b><br><small>$
</small>","(110a:8:3) כורכמא רישקא - כרכום של גן קרו""ג אוריינטל הגדל בגנים:"
"שבלילתא/פינוגר""י",Shabbat 110b,,Rashi on Shabbat 110b:1:8,"392 שבת קי: <b>שבלילתא</b><br>פינוגר""י fenogre <b>חילבה (גרגרנית יוונית, צמח המשמש לתבלין)</b><br><small>$
</small>","(110b:1:8) שבליתא - תלתן פנגרי""ג:"
"עמר גופנא/קוטו""ן",Shabbat 110b,Rashi on Shabbat 110b:1:15,,"393 שבת קי: <b>עמר גופנא</b><br>קוטו""ן coton <b>כותנה</b><br><small>ראה לעיל מס' 26.$
</small>","(110b:1:15) דעמר גופנא - קוטו""ן:"
"אהלא/אלואי""ן",Shabbat 110b,Rashi on Shabbat 110b:4:2,,"394 שבת קי: <b>אהלא</b><br>אלואי""ן aloen <b>אלוואי, אָהָל</b><br><small>ר' בלונדהיים ב' (ע' 78-77) ומילונו של לוי (מס' 60),. אלוואי היא המלה היוונית aloe, שעברה ללטינית ולצרפתית. הזיהוי הנכון של אהל המקראי ושל אלוא (אלווין, עלואין) התלמודי מציג בעיות רבות, ר' במילונים ובאנציקלופדיות למיניהם, וכן בספרי יהודה פליקס על הצומח במקרא ובתלמוד. בצרפתית של ימי-הביניים נתקלים לפעמים בערבוביה בין aloen לבין aloisne (ר' להלן מס' 630).$
</small>",(110b:4:2) אהלא - אלויין:
"מרפי/דישילציי""ר",Shabbat 111a,Rashi on Shabbat 111a:4:2,,"395 שבת קיא. <b>מרפי</b><br>דישילציי""ר desjalcier <b>לחלוץ</b><br><small>מלה במלה: לחלוץ נעליים, אבל כאן הכוונה לרופף את החניכים, שהיו דבקים יותר מדאי בשיניים. ר' מילונו של לוי (מס' 204 – במפתח בטעות 314, המס' של בלונדהיים!).$
</small>","(111a:4:2) ליכא מכה מרפי - צומת הבשר והשינים נרפים רחוקין זה מזה דשיילצי""ר מתחלצות:"
"סבכה/קויפ""א",Shabbat 111b,Rashi on Shabbat 111b:8:3,,"396 שבת קיא: <b>סבכה</b><br>קויפ""א coife <b>שביס עשוי רשת</b><br><small>ראה לעיל מס' 222.$
</small>","(111b:8:3) סבכה - קוייפ""א:"
"חוטין/פינדנ""ץ",Shabbat 111b,Rashi on Shabbat 111b:8:4,,"397 שבת קיא: <b>חוטין</b><br>פינדנ""ץ pendanz <b>סרטים, כתפיות (להדק בגד על הגוף)</b><br><small>$
</small>","(111b:8:4) ושל פסקיא - אזור רחב וחוטין תלויין בראשו לקושרו בהן וקורין פינדור""ס:"
"כף/שול""א",Shabbat 112a,Rashi on Shabbat 112a:9:3,,"398 שבת קיב. <b>כף</b><br>שול""א sole <b>סוליה</b><br><small>$
</small>","(112a:9:3) הכף - שול""א בלע""ז שתחת פרסות הרגל:"
"שלאכא/ברוצו""ן",Shabbat 112b,Rashi on Shabbat 112b:10:1,,"399 שבת קיב: <b>שלאכא</b><br>ברוצו""ן brocon <b>זרבובית</b><br><small>ר' מילונו של לוי (מס' 187).$
</small>","(112b:10:1) שלאכא - ברצו""ן:"
"פסיקיא/פיישול""א",Shabbat 113a,Rashi on Shabbat 113a:4:3,,"400 שבת קיג. <b>פסיקיא</b><br>פיישול""א feisole [faissole] <b>רצועה</b><br><small>$ 
</small>","(113a:4:3) כורך עליו - מחבר שני ראשי הפיסוק זה על זה וכורך עליהם פונדא אזור חלול או פסיקיא פיישול""א:"
"כובד עליון ותחתון/אינשובלי""ש",Shabbat 113a,Rashi on Shabbat 113a:8:3,,"401 שבת קיג. <b>כובד עליון ותחתון</b><br>אינשובלי""ש ensobles <b>כּבָדים</b><br><small>הכובד העליון והכובד התחתון הם הגלילים, שכורכים עליהם חוטי השתי בנול האורגים. ר' מילונו של לוי (מס' 425).$
</small>","(113a:8:3) כובד העליון והתחתון - אנשובל""ש:"
"עמודים/טילייר""ש",Shabbat 113a,,Rashi on Shabbat 113a:8:6,"402 שבת קיג. <b>עמודים</b><br>טילייר""ש teliers <b>מתקני אריגה</b><br><small>מלשון teile (כד).$
</small>","(113a:8:6) העמודים - טריור""ש בלע""ז אותם המנוקבות שאורגין בהן הנשים:"
"עמודים/ריילי""ש",Shabbat 113a,,Rashi on Shabbat 113a:8:6,"403 שבת קיג. <b>עמודים</b><br>ריילי""ש relies  [reillies] <b>מוטות, קרשים</b><br><small> אחד מכתבי-היד מוסיף למס' 402 את הלעז הנ""ל בציון ""ובמקומי קורין אותו…""; בכתב-יד אחר מופיעה, במקום טילייר""ש, הגרסה רילי""ש, שלכאורה מצביעה על מלתנו, אך כך צריך להניח, שכינו את מתקן האריגה הפשוט במקומות מסוימים בשם, שמשמעותו הרגילה ""מוט, קרש"".$
</small>","(113a:8:6) העמודים - טריור""ש בלע""ז אותם המנוקבות שאורגין בהן הנשים:"
"אדמה/ארזיל""א",Shabbat 113b,Rashi on Shabbat 113b:3:1,,"404 שבת קיג: <b>אדמה</b><br>ארזיל""א arzile [arzille] <b>חומר, טין</b><br><small>ראה לעיל מס' 311.$
</small>","(113b:3:1) מהו לאכול אדמה - ארזיל""א בלע""ז מי גזרו בה משום שחיקת סמנים כשאר רפואה או לא:"
"און גיליון/איונגילי""ש",Shabbat 116a,,,"405 שבת קטז. <b>און גיליון</b><br>איונגילי""ש הברית החדשה <b>ewangiles [evangiles]</b><br><small>התרגום מלה במלה, לפי המקור היווני, הוא: הבשורות הטובות. והם ארבעת הסיפורים על חיי הנוצאי, שהם עיקר הברית החדשה, הפסקה בתלמוד, עם פירושו של רש""י עליה, הושמטה מהדפוס מחמת הצנזורה הנוצרית, ואין מוצאים אותה אלא ב""חסרונות הש""ס"" המודפס לפעמים בסוף המסכת. או במהדורת השלמות. ברור, שרש""י מצביע על משחק המלים בין ""און גליון"" או ""עון גליון"" (במשמעות ""גיליון – כלומר חיבור – של אוון – כלומר חמש"" או ""של עוון"") ובין אוונגליון הגיווני, שעקבותיו ניכרים במלה הצרפתית.$
</small>"
"לבדין/פילטרי""ש",Shabbat 118a,,Rashi on Shabbat 118a:5:6,"406 שבת קיח. <b>לבדין</b><br>פילטרי""ש feltres <b>לבדים (מצעים של לֶבֶד)</b><br><small>$
</small>","(118a:5:6) בי סדיא - לבדין פולטר""א להניח תחת מראשותיו:"
" תכתקא/פלדישטו""ל",Shabbat 119a,,"Rashi on Shabbat 119a:3:5,
Rashi on Shabbat 119a:3:4","407 שבת קיט. <b> תכתקא</b><br>פלדישטו""ל faldestol <b>כיסא מתקפל</b><br><small>$
</small>","(119a:3:5) ומושיף נורא - נופח משם נורא לכבוד השבת ורבינו לוי גרס אתכתקא דשאגא תדהר:,
(119a:3:4) אתכתקא דשינא - פשטדו""ל של שן שחשוב היה ועשיר:"
"מקטורן/מנטי""ל",Shabbat 120a,Rashi on Shabbat 120a:8:1,,"408 שבת קכ. <b>מקטורן</b><br>מנטי""ל mantel <b>גלימה</b><br><small>$
</small>","(120a:8:1) מקטורן - מנטי""ל :"
"אונקלי/שרזינ""א",Shabbat 120a,Rashi on Shabbat 120a:8:2,,"409 שבת קכ. <b>אונקלי</b><br>שרזינ""א sarazine [darrazine] <b>לבוש רחב</b><br><small>כמשמעו: [לבוש] ערב, ורש""י מחזק פירוש זה בהוסיפו את השם הערבי של הלבוש, ר' בלונדהיים פ', עד 144, הערה 2. המילונים לצרפתית עתיקה אינם מכירים את השימוש הזה של התואר.$
</small>","(120a:8:2) אונקלי - לבוש רחב כעין שריניש""א ובלשון ערבי מחשיא""ה:"
"גלבוס/גנביי""ש",Shabbat 120a,Rashi on Shabbat 120a:8:4,,"410 שבת קכ. <b>גלבוס</b><br>גנביי""ש ganbeis [ganbais] <b>מקטורן מרופד</b><br><small>ראה לעיל מס' 97.$
</small>","(120a:8:4) קלבוס - נביי""ש:"
"חלוק/קמיש""א",Shabbat 120a,Rashi on Shabbat 120a:8:5,,"411 שבת קכ. <b>חלוק</b><br>קמיש""א chemise <b>גופייה, כותונת</b><br><small>הבגד, שלובשים על עור הבשר; עד הדורות האחרונים היו לובשים על הגוף מעין כותונת ארוכה.$
</small>","(120a:8:5) חלוק - קמי""שא על בשרו:"
"ספרקין/פיישול""א",Shabbat 120a,Rashi on Shabbat 120a:8:8,,"412 שבת קכ. <b>ספרקין</b><br>פיישול""א feisole [faissole] <b>רצועה</b><br><small>אולי יש לקרוא, כפי שגורסים כמה כתבי-יד, פיישולי""ש feisoles ברבים, בפרט שכאן מדובר ב""שני ספרקין"", שהם כפי הנראה רצועות בד, שכורכים על הרגליים.$
</small>","(120a:8:8) ושני ספרקין - פיישול""ש:"
"אנפילייאות/קלצי""ש",Shabbat 120a,Rashi on Shabbat 120a:8:9,,"413 שבת קכ. <b>אנפילייאות</b><br>קלצי""ש chalces <b>בתי-רגליים (כמין גרביים עשויים מבד)</b><br><small>ר' מילונו של לוי (מס' 204).$
</small>","(120a:8:9) אנפילייאות - קלצנו""ש של צמר:"
"פרגוד/יינוילי""ש",Shabbat 120a,Rashi on Shabbat 120a:8:10,,"414 שבת קכ. <b>פרגוד</b><br>יינוילי""ש jenoiles [jenoilles] <b>בתי-ברכיים</b><br><small>בצורה זו ובמשמעות זו אין המלה מצויה במילונים. כי אם בצורת jenoilieres (יינויליירי""ש); מצויה במחצית כתבי-היד, ואפשר איפה להעדיף גרסה זו, ר' מילונו של לוי (מס' 786).$
</small>","(120a:8:10) פרגוד - גניליי""ש ובלשון אשכנז קני הוז""ן:"
