Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 11a:9	D<small>IES NUR</small>, <small>WENN NICHT BEIDE ES</small>$fn399<small>WOLLEN</small>, <small>WENN ABER BEIDE ES WOLLEN</small>, <small>SO TEILEN SIE</small>, <small>AUCH WENN ES WENIGER IST</small>. H<small>EILIGE</small> S<small>CHRIFTEN</small>$fn400<small>ABER DARF MAN NICHT TEILEN</small>, <small>AUCH WENN BEIDE ES WOLLEN</small>.
Bava Batra 11a:10	GEMARA. R. Asi sagte im Namen R. Joḥanans: Die vier Ellen, von denen sie sprechen$fn401, sind außer den Türen$fn402zu verstehen. Ebenso wird auch gelehrt: Man braucht einen Hof nur dann zu teilen, wenn acht Ellen für den einen und acht Ellen für den anderen verbleiben. Wir haben ja aber gelernt: vier Ellen für den einen und vier Ellen für den anderen!? Wahrscheinlich ist dies nach der Lehre R. Asis zu erklären. Schließe hieraus. 
Bava Batra 11a:11	Manche führen dies als Widerspruch an: Wir haben gelernt, man brauche einen Hof nur dann zu teilen, wenn vier Ellen für den einen und vier Ellen für den anderen verbleiben, und dem widersprechend wird gelehrt: acht Ellen für den einen und acht Ellen für den anderen!? R. Asi erwiderte im Namen R. Joḥanans: Die vier Ellen, von denen sie sprechen, sind außer den Türen zu verstehen.
Bava Batra 11a:12	R. Hona sagte, ein Hof werde nach den Türen$fn403geteilt; R. Ḥisda aber sagte, man lasse vier Ellen für jede Tür, und das übrige teilen sie gleichmäßig. 
Bava Batra 11a:13	Übereinstimmend mit R. Ḥisda wird auch gelehrt: Zu jeder der nach dem Hofe führenden Türen gehören$fn404vier Ellen; wenn der eine eine Tür und der andere zwei Türen hat, so erhält der, der eine Tür hat, vier Ellen, und der, der zwei Türen hat, acht Ellen, und den Rest teilen sie gleichmäßig. Wenn einer eine acht Ellen breite Tür hat, so erhält er acht Ellen gegenüber der Tür und vier Ellen vom Hofe. – Welches Bewenden hat es mit den vier Ellen vom Hofe? Abajje erwiderte: Er meint es wie folgt: er erhält acht Ellen in der Länge des Hofes$fn405und vier Ellen in der Breite des Hofes$fn406.
Bava Batra 11a:14	Amemar sagte: Zur Futtergrube$fn407gehören vier Ellen nach jeder Seite. Dies jedoch nur dann, wenn er keine besondere Tür zu dieser hat, 
Bava Batra 11b:1	wenn er aber eine besondere Tür zu dieser hat, so erhält er nur vier Ellen vor seiner Tür.
Bava Batra 11b:2	R. Hona sagte: Zu einer Halle gehören nicht die vier Ellen; diese sind wegen der Abladung einer Last$fn408nötig, in eine solche aber kann man$fn409 hineingehen und da abladen. R. Šešeth wandte ein: Sowohl zu den Toren von Häusern als auch zu den Toren von Hallen gehören vier Ellen!? – Diese Lehre spricht von einer Schulhalle$fn410. – Von einer Schulhalle ist dies ja selbstverständlich, eine solche ist ja eine richtige Stube!? – Vielmehr, von einer römischen Halle$fn411.
Bava Batra 11b:3	Die Rabbanan lehrten: Zu einem Torhäuschen, einer Halle und einer Galerie gehören vier Ellen. Wenn fünf Häuser nach einer Galerie geöffnet sind, so erhalten sie alle nur vier Ellen$fn412. R. Joḥanan fragte R. Jannaj: Gehören zu einem Hühnerstalle die vier Ellen oder nicht? Dieser erwiderte: Nötig sind sie ja zur Abladung der Last, diese$fn413aber können klettern und hinaufsteigen, klettern und herabsteigen$fn414.
Bava Batra 11b:4	Raba fragte R. Naḥman: Gehören zu einem Hause, das zur Hälfte überdacht und zur Hälfte nicht überdacht ist, die vier Ellen oder nicht? Dieser erwiderte: Zu einem solchen gehören die vier Ellen nicht. Selbstverständlich ist dies von dem Falle, wenn die Überdachung sich nach innen$fn415befindet, denn er kann ja innen hineingehen und da die Last ablegen; aber auch wenn die Überdachung sich nach außen befindet, kann er hineingehen und da die Last ablegen.
Bava Batra 11b:5	R. Hona fragte R. Ami: Wie ist es, wenn einer von den Anwohnern der Durchgangsgasse seine Tür nach einer anderen Durchgangsgasse$fn416verlegen will: können die übrigen Anwohner der Durchgangsgasse ihm dies verwehren$fn417oder nicht? Dieser erwiderte: Die Anwohner der Durchgangsgasse können ihm dies verwehren. – 
Bava Batra 11b:6	Wird die Einquartierung$fn418nach den Personen$fn419oder nach den Türen$fn420berechnet? Dieser erwiderte: Sie wird nach den Personen berechnet. Ebenso wird auch gelehrt: Der Mist in einem Hofe$fn421wird nach den Türen verteilt; die Einquartierung wird nach den Personen berechnet.
Bava Batra 11b:7	R. Hona sagte: Wenn einer von den Anwohnern der Durchgangsgasse seine Tür verbauen$fn422will, so können die übrigen Anwohner dieser Durchgangsgasse ihm dies verwehren, weil er ihnen dadurch den Weg ausdehnt$fn423. 
Bava Batra 11b:8	Man wandte ein: Wenn fünf Höfe in eine Durchgangsgasse$fn424 münden, so benutzen sie sie alle$fn425mit dem äußersten$fn426, der äußerste aber nur [seinen Teil]$fn427allein; ferner alle$fn428mit dem zweiten, der zweite aber nur seinen und den des äußersten; 
Bava Batra 11b:9	der innerste aber benutzt seinen und den aller$fn429anderen!? – 
Bava Batra 11b:10	Hierüber streiten Tannaím, denn es wird gelehrt: Wenn einer von den Anwohnern der Durchgangsgasse seine Tür nach einer anderen Durchgangsgasse verlegen will, so können die übrigen Anwohner dieser Durchgangsgasse ihm dies verwehren; wenn sie geschlossen ist und er sie öffnen will, so können die übrigen Anwohner dieser Durchgangsgasse ihm dies nicht verwehren –so Rabbi; R. Šimo͑n b. Elea͑zar sagt, wenn fünf Höfe in eine Durchgangsgasse münden, so dürfen sie alle die Durchgangsgasse benutzen. 
Bava Batra 11b:11	Wer spricht hier von Höfen$fn430? Vielmehr ist diese Lehre lückenhaft und sie muß wie folgt lauten: ebenso dürfen, wenn fünf Höfe in eine Durchgangsgasse münden, alle sie mit dem äußersten benutzen, der äußerste aber nur seinen &amp;c. so Rabbi; R. Šimo͑n b. Elea͑zar sagt, wenn fünf Höfe in eine Durchgangsgasse münden, so dürfen sie alle die Durchgangsgasse benutzen.
Bava Batra 11b:12	«Wenn sie geschlossen ist und er sie öffnen will, so können die übrigen Anwohner der Durchgangsgasse es ihm nicht verwehren.» Raba sagte: Dies lehrten sie nur von dem Falle, wenn er den Türrahmen nicht herausgebrochen$fn431hat, wenn er aber den Türrahmen herausgebrochen$fn432hat, so können die übrigen Anwohner der Durchgangsgasse es$fn433ihm verwehren. Abajje sprach zu Raba: Es gibt eine Lehre als Stütze für dich: 
Bava Batra 12a:1	Zu einem geschlossenen Hause$fn434gehören die vier Ellen$fn435; hat er den Türrahmen herausgebrochen$fn436, so gehören zu diesem nicht mehr die vier Ellen. 
Bava Batra 12a:2	Ein Grab, dessen Tür geschlossen ist, ist nicht von allen Seiten$fn437 verunreinigend; hat man den Türrahmen herausgebrochen und es geschlossen, so ist es von allen Seiten$fn438 verunreinigend. Ein geschlossenes Haus$fn439ist nicht von allen Seiten$fn437verunreinigend; hat man den Türrahmen herausgebrochen, so ist es von allen Seiten verunreinigend$fn440.
Bava Batra 12a:3	Rabba b. Bar Ḥana sagte im Namen R. Joḥanans: Wenn die Bürger einer Stadt, deren Durehgangsgassen in eine andere Stadt$fn441münden, diese schließen wollen, so können die Bürger der anderen Stadt ihnen dies verwehren. Selbstverständlich können sie es ihnen verwehren, wenn ein anderer Weg nicht vorhanden ist, aber auch wenn ein anderer Weg vorhanden ist, können sie es ihnen verwehren. 
Bava Batra 12a:4	Dies wegen einer Lehre, die R. Jehuda im Namen Rabhs lehrte, man dürfe einen Rain, den das Publikum in Besitz genommen$fn442hat, nicht zerstören. (Dies auch nach R. Gidel, denn R. Gidel sagte: Hat das Publikum einen Weg$fn443ausgesucht, so ist er ausgesucht.)
Bava Batra 12a:5	R. A͑nan sagte im Namen Šemuéls: Wenn Durchgangsgassen in eine öffentliche Straße münden und die Anwohner der Durchgangsgassen Türen einsetzen$fn444wollen, so können die Leute der Straße es ihnen verwehren$fn445. 
Bava Batra 12a:6	Man wollte erklären, nur von vier Ellen$fn446, und zwar nach R. Zera, der im Namen R. Naḥmans sagte, die vier Ellen an der Straße gehören zur Straße; dem ist aber nicht so, dies gilt nur hinsichtlich der Unreinheit$fn447, hierbei aber$fn448kann es vorkommen, daß im Publikum ein Gedränge entsteht und es weiter hineingehen muß$fn449.
Bava Batra 12a:7	E<small>IN</small> F<small>ELD NUR DANN</small>, <small>WENN NEUN</small> K<small>AB FÜR DEN EINEN UND NEUN</small> K<small>AB FÜR DEN ANDEREN VERBLEIBEN</small> &amp;<small>C</small>. Sie$fn450streiten aber nicht; einer spricht von seiner Ortschaft und einer spricht von seiner Ortschaft$fn451. – 
Bava Batra 12a:8	Wie ist es in Babylonien? R. Joseph erwiderte: Der Pflug eines Tages$fn452. – 
Bava Batra 12a:9	Was heißt ‘der Pflug eines Tages’: wenn der Saatpflug$fn453eines Tages, so entspricht er ja nicht zwei Tagen$fn454des Lockerungspfluges, und wenn der Lockerungspflug eines Tages, so ist es ja kein Tag$fn454des Saatpfluges!? – 
Bava Batra 12a:10	Wenn du willst, sage ich: ein$fn455Tag des Saatpfluges entspricht zwei Tagen des Lockerungspfluges, denn der Lockerungspflug wird wiederholt$fn456; wenn du aber willst, sage ich: der Lockerungspflug eines Tages bei unebenem Boden$fn457.
Bava Batra 12a:11	Eine Bewässerungsgrube [teile man], wie R. Naḥman sagte, wenn [für jeden] ein Tag zum Schöpfen verbleibt. Einen Weinberg [teile man], wie der Vater Šemuéls sagte, wenn [für jeden] drei Kab verbleiben. 
Bava Batra 12a:12	Ebenso wird auch gelehrt: Wenn jemand zu seinem Nächsten sagt, er verkaufe ihm einen Teil vom Weinberge, so darf er ihm, wie Symmachos sagt, nicht weniger als drei Kab geben. R. Jose sagte: Das ist nichts weiter als Prophetenworte$fn458. – Wie verhält es sich in Babylonien? Raba b. Qisana erwiderte: Drei Reihen je zwölf Weinstöcke; soviel, daß ein Mensch sie an einem Tage bearbeiten kann$fn459.
Bava Batra 12a:13	R. Evdämi aus Hajpha sagte: Seit dem Tage, an dem der Tempel zerstört worden ist, ist die Prophetie den Propheten genommen und den Weisen gegeben worden. – Kann denn ein Weiser nicht auch Prophet sein!? – Er meint es wie folgt: Wenn sie auch den Propheten genommen worden ist, den Weisen aber ist sie nicht genommen worden. 
Bava Batra 12a:14	Amemar sagte: Ein Weiser ist bedeutender als ein Prophet, denn es heißt:$fn460<i>dem Propheten</i>$fn461<i>ein Herz der Weisheit</i>; wer beruft sich auf wen? Doch wohl der kleinere auf den größeren. 
Bava Batra 12a:15	Abajje sagte: Dies ist auch zu beweisen: ein bedeutender Mann sagt etwas, und übereinstimmend mit ihm wird es auch im Namen eines anderen bedeutenden Mannes$fn462gesagt. Raba entgegnete: Was beweist dies denn, vielleicht sind sie beide Kinder desselben Geschickes$fn463!? Vielmehr, sagte Raba, ist dies aus folgendem zu beweisen: ein bedeutender Mann sagt etwas, 
Bava Batra 12b:1	und dasselbe wird auch im Namen des R. A͑qiba b. Joseph$fn464gesagt. R. Aši entgegnete: Was beweist dies denn, vielleicht sind sie in dieser Sache Kinder desselben Geschickes!? 
Bava Batra 12b:2	Vielmehr, sagte R. Aši, ist dies aus folgendem zu beweisen: ein bedeutender Mann sagt etwas, und dasselbe wurde auch Moše am Sinaj überliefert. – Vielleicht wie ein Blinder an die Luke$fn465!? – Begründet er es etwa nicht$fn466!?
Bava Batra 12b:3	R. Joḥanan sagte: Seit dem Tage, an dem der Tempel zerstört worden ist, ist die Prophetie den Propheten genommen und Narren und Kindern gegeben worden. – Welches Bewenden hat es damit? Wie in folgendem Falle. Einst stand Mar b. R. Aši auf dem Vorplatze von Maḥoza und hörte einen Narren sagen: Der jetzt in Matha Meḥasja zum Schuloberhaupte eingesetzt wird, unterzeichnet sich Ṭabjomi. Da sprach er: Der sich unter den Rabbanan Ṭabjomi unterzeichnet, bin ich; es scheint also, daß mir die Zeit günstig ist. Da machte er sich auf und ging dahin. Während er hinging, stimmten die Rabbanan gerade ab, R. Aḥa aus Diphte zum Oberhaupte einzusetzen, 
Bava Batra 12b:4	und als sie hörten, daß jener kommt, sandten sie ein Gelehrtenpaar zu ihm, um sich mit ihm zu beraten; er aber hielt sie zurück. Hierauf sandten sie zu ihm ein anderes Gelehrtenpaar, und er hielt auch dieses bei sich zurück, bis sie ihrer zehn waren. Als zehn anwesend waren, begann er und hielt vor ihnen einen Vortrag. Man eröffnet nämlich keinen Vortrag, wenn nicht wenigstens zehn Personen anwesend sind. 
Bava Batra 12b:5	Hierauf$fn066las R. Aḥa über sich: Wem es schlecht geht, dem geht es nicht so schnell gut, und wem es gut geht, dem geht es nicht so schnell schlecht. – 
Bava Batra 12b:6	Welches Bewenden hat es mit den Kindern? – Wie in folgendem Falle. Das Töchterchen R. Ḥisdas saß auf dem Rockschoße ihres Vaters und Raba und Rami b. Ḥama saßen vor ihm. Da fragte er sie: Wen von ihnen willst du haben? Sie erwiderte: Beide. Da sprach Raba: mich nachher$fn467.
Bava Batra 12b:7	R. Evdämi aus Hajpha sagte: Bevor ein Mensch gegessen und getrunken hat, hat er zwei$fn468Herzen, nachdem er aber gegessen und getrunken hat, hat er nur ein Herz, denn es heißt:$fn469<i>ein Mensch, der nabub ist, hat Herzen</i>$fn470, und$fn471<i>nebub luhoth</i> wird übersetzt: hohle$fn472Tafeln. 
Bava Batra 12b:8	R. Hona sagte im Namen R. Jehošua͑s: Wenn jemand an Wein gewöhnt ist, so öffnet der Wein sein Herz, selbst wenn es jungfräulich verschlossen ist, denn es heißt:$fn473<i>der Most macht die Jungfrauen offen</i>$fn470.
Bava Batra 12b:9	R. Hona, Sohn des R. Jehošua͑, sagte: Selbstverständlich ist es, daß man ihm$fn474den Erstgeborenenanteil und den Verhältnisanteil$fn475zusammenliegend$fn476gibt, wie verhält es sich aber mit einem Schwager$fn477? 
Bava Batra 12b:10	Abajje erwiderte: Es ist dasselbe, denn auch ihn nennt der Allbarmherzige einen Erstgeborenen. Raba erwiderte: Die Schrift sagt:$fn478<i>es soll der Erstgeborene</i>, er gleicht dem Erstgeborenen$fn479, nicht aber gleicht die Teilung der des Erstgeborenen.
Bava Batra 12b:11	Einst kaufte jemand Ackerland an der Grenze seiner Schwiegereltern, und als sie$fn480später teilen sollten, sprach er: Gebt mir meinen Anteil an meiner Grenze. Da entschied Rabba: In einem solchen Falle übt man einen Zwang aus gegen sedomitische$fn481Art. 
Bava Batra 12b:12	R. Joseph wandte ein: Die anderen können ja sagen: Wir berechnen es ihm mit einem hohen Preise, gleich dem der Güter des Bar Marjon$fn482!? Die Halakha ist wie R. Joseph.
Bava Batra 12b:13	In dem Falle, wenn zwei Grundstücke sich an zwei Gräben$fn483befinden, sagte Rabba, übe man Zwang aus gegen sedomitische Art. R. Joseph wandte ein: Es kann ja vorkommen, daß der eine austrocknet$fn484und der andere nicht!? Die Halakha ist wie R. Joseph. 
Bava Batra 12b:14	Wenn zwei sich an einem Graben$fn485befinden, so übe man, wie R. Joseph sagte, Zwang aus gegen sedomitische Art. Abajje wandte ein: Der andere kann ja sagen, er wünsche, daß es mehr Pächter$fn486sind!? Die Halakha ist aber wie R. Joseph, denn mit der Vermehrung [der Pächter] ist es nichts. 
Bava Batra 13a:1	Wenn an der einen Seite ein Graben und an der anderen Seite ein Strom sich befindet, so teilen sie diagonal$fn487.
Bava Batra 13a:2	E<small>INEN</small> S<small>AAL</small> &amp;<small>C</small>. Wie ist es, wenn nicht genügend für den einen und für den anderen verbleibt? – R. Jehuda sagt, hierbei gelte die Norm ‘nimm$fn488oder ich nehme’; R. Naḥman sagt, hierbei gelte nicht die Norm ‘nimm oder ich nehme’. 
Bava Batra 13a:3	Raba sprach zu R. Naḥman: Wie machen, nach deiner Auffassung, die Norm ‘nimm oder ich nehme’, habe keine Geltung, der Erstgeborene und sein Bruder, wenn ihr Vater ihnen einen Sklaven oder ein unreines Vieh$fn489hinterlassen$fn490hat? Dieser erwiderte: Ich sage, er diene einen Tag diesem und zwei Tage jenem. 
Bava Batra 13a:4	Man wandte ein: Der Halbsklave diene einen Tag seinem Herrn und einen Tag sich selber – so die Schule Hillels. Die Schule Šammajs erwiderte: Ihr habt allerdings eine Vorsorge für seinen Herrn getroffen, nicht aber für ihn; eine Sklavin heiraten darf er nicht, eine Freie heiraten darf er nicht, und [die Heirat] ganz unterlassen [ebenfalls nicht], da die Welt zur Fortpflanzung erschaffen wurde, denn es heißt:$fn491<i>nicht zur Einöde hat er sie erschaffen, sondern daß sie bewohnt werde</i>. 
Bava Batra 13a:5	Vielmehr zwinge man seinen Herrn, ihn zum Freien zu machen, und dieser schreibe ihm einen Schuldschein$fn492über die Hälfte seines Wertes. Darauf trat die Schule Hillels zurück und pflichtete der Schule Šammajs bei!? – 
Bava Batra 13a:6	Anders verhält es sich hierbei, wo nur ‘ich nehme’, nicht aber ‘nimm du’ erfolgen$fn493kann. – 
Bava Batra 13a:7	Komm und höre: Wenn zwei Brüdern, einer reich und einer arm, ihr Vater ein Badehaus oder eine Ölpresse hinterlassen hat, so ist, wenn er sie zum Vermieten errichtet hat, der Mietzins zu teilen; wenn aber für den eigenen Gebrauch, so kann der reiche zum armen sagen: 
Bava Batra 13b:1	halte dir Sklaven, die dir im Bade Dienste leisten, kaufe dir Oliven und verarbeite sie in der Ölpresse$fn494!? – Auch hierbei kann nur ‘nimm du’, nicht aber ‘ich nehme’ erfolgen$fn495. – 
Bava Batra 13b:2	Komm und höre: Wenn nach der Teilung der Name beibehalten$fn496wird, so teilen sie, wenn aber nicht, so ist der Wert herauszuzahlen$fn497!? – Hierüber streiten Tannaím, denn es wird gelehrt: [Sagt einer:] nimm du das erforderliche Maß$fn498und ich nehme weniger, so höre man auf ihn; R. Šimo͑n b. Gamliél sagt, man höre auf ihn nicht. 
Bava Batra 13b:3	In welchem Falle: wollte man sagen, wie gelehrt wird, was ist demnach der Grund des R. Šimo͑n b. Gamliél$fn499? Wahrscheinlich ist diese Lehre lückenhaft und muß wie folgt lauten: [Sagt er:] nimm du das erforderliche Maß und ich nehme weniger, so höre man auf ihn, und ebenso höre man auf ihn, wenn er ‘nimm oder ich nehme’$fn500sagt; und hierzu$fn501sagte R. Šimo͑n b. Gamliél, daß man auf ihn nicht höre. – 
Bava Batra 13b:4	Nein, tatsächlich wie gelehrt wird, wenn du aber einwendest, was denn der Grund des R. Šimo͑n b. Gamliél sei, [so ist es folgendes:] jener kann ihm erwidern: willst du$fn502einen Ersatz, so habe ich kein Geld, ihn dir zu zahlen, und Geschenktes will ich ebenfalls nicht haben, denn es heißt:$fn503<i>wer Geschenke haßt, wird leben</i>.
Bava Batra 13b:5	Abajje sprach zu R. Joseph: Die Lehre R. Jehudas$fn504ist von Šemuél. Wir haben nämlich gelernt: Heilige Schriften aber darf man nicht teilen, auch wenn beide es wollen. Hierzu sagte Šemuél, dies lehrten sie nur von dem Falle, wenn sie in einem Bande$fn505sind, wenn aber in zwei Bänden, so teilen sie. Wenn man nun sagen wollte, er halte nichts von der Norm ‘nimm oder ich nehme’, so sollte dies doch nicht nur von einem Bande gelten, sondern auch von zwei Bänden. 
