Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 15b:1	[Diese Lehre] ist lückenhaft und muß wie folgt lauten: Daß man sich beim Etrog hinsichtlich der Verzehntung nach dem Pflücken und hinsichtlich des Siebentj ahres nach dem Knospen richte: unsere Meister aber stimmten in U͑ša ab und beschlossen, sowohl hinsichtlich der Verzehntung als auch hinsichtlich des Siebentjahres nach dem Pflücken. 
Rosh Hashanah 15b:2	Es wurde gelehrt: R. Joḥanan und Reš Laqiš sagen beide, der aus dem sechsten Jahre in das Siebentjahr hineinragende Etrog gehöre immer zum sechsten Jahre. Als Rabin kam, sagte er im Namen R. Joḥanans, bei einem aus dem sechsten Jahre in das Siebentjahr hineinragenden Etrog ist man, selbst wenn er von Olivengröße zur Größe eines Kikar$fn233gewachsen ist, wegen des Unverzehnteten schuldig.
Rosh Hashanah 15b:3	Die Rabbanan lehrten: Wenn ein Baum vor dem fünfzehnten Šebaṭ Knospen hatte, so ist er als vorjährig zu verzehnten, wenn nach dem fünfzehnten Šebaṭ, so ist er als diesjährig zu verzehnten. R. Neḥemja sagte: Dies gilt nur von einem Baume, der zweimal im Jahre trägt. – 
Rosh Hashanah 15b:4	Zweimal, wie kommst du$fn234darauf!? – Sage vielmehr: wie$fn235zweimal. 
Rosh Hashanah 15b:5	Ein Baum aber, der nur einmal trägt, beispielsweise die Dattelpalme, der Olivenbaum oder der Johannisbrotbaum, ist, auch wenn er vor dem fünfzehnten Šebaṭ; Knospen hatte, als diesjährig zu verzehnten. 
Rosh Hashanah 15b:6	R. Joḥanan sagte: Das Volk pflegt beim Johannisbrotbaum nach R. Neḥemja zu verfahren. 
Rosh Hashanah 15b:7	R. Šimo͑n b.Laqiš wandte gegen R. Joḥanan ein: Bei den weißen Feigen hat das Gesetz vom Siebentjahre im zweiten Jahre statt, weil sie nach drei Jahren tragen$fn236. 
Rosh Hashanah 15b:8	Da schwieg er. R. Abba der Priester sprach zu R. Jose dem Priester: Weshalb schwieg er, er könnte ihm ja erwidern, ich spreche nach R. Neḥemja und du wendest gegen mich die Ansicht dei Rabbanan ein!? – 
Rosh Hashanah 15b:9	Weil jener ihm entgegnet haben würde: du läßt die Rabbanan und lehrst nach R. Neḥemja!? – 
Rosh Hashanah 15b:10	Er könnte ihm ja aber erwidern: ich spreche von der Gepflogenheit [des Volkes], und du weisest auf ein Verbot hin!? – 
Rosh Hashanah 15b:11	Jener würde entgegnet haben: darf man denn eine Gepflogenheit gegen ein Verbot zulassen!? – Sollte er ihm aber erwidern: ich spreche vom rabbanitischen Zehnten des Johannisbrotes und du wendest gegen mich vom Siebentjahre, einem Gebote der Tora, ein!? 
Rosh Hashanah 15b:12	Vielmehr, sagte Abba der Priester, es würde mich wundern, wenn Reš Laqiš diesen Einwand gerichtet haben sollte. – ‘Gerichtet haben sollte’, er hat ihn ja gerichtet!? – Sage vielmehr: ob R. Joḥanan dies überhaupt als Einwand anerkannt hat (oder nicht).
Rosh Hashanah 16a:1	<b>A</b><small>N VIER</small> J<small>AHRESZEITEN WIRD DIE</small> W<small>ELT GERICHTET: AM</small> P<small>ESAḤFESTE DAS</small> G<small>ETREIDE, AM</small> W<small>OCHENFESTE DIE</small> B<small>AUMFRÜCHTE, AM</small> N<small>EUJAHRSFESTE ZIEHEN ALLE</small> W<small>ELTBEWOHNER</small>$fn237<small>AN IHM WIE IM</small> H<small>AMMELSPRUNGE</small>$fn238<small>VORÜBER, DENN ES HEISST</small>:$fn239<i>er bildet ihnen insgesamt das Herz, er merkt auf all ihre Taten</i>, <small>AM</small> H<small>ÜTTENFESTE DAS</small> W<small>ASSER</small>.<sup>ii</sup>
Rosh Hashanah 16a:2	GEMARA. Welches Getreide: wollte man sagen, das stehende Getreide, wann wurde es inbetreff all der Geschehnisse, die über dieses bereits ergangen sind, gerichtet!? – Vielmehr, das zu säende Getreide. – 
Rosh Hashanah 16a:3	Dermnach wird es nur einmal gerichtet. Dagegen wird gelehrt: Wenn das Getreide vor dem Pesaḥfeste von einem Mißgeschick oder einem Unglück betroffen wird, so wurde es im vergangenen Jahre gerichtet, wenn nach dem Pesaḥfeste, so wurde es im laufenden gerichtet; wenn ein Mensch vor dem Versöhnungstage von einem Mißgeschick oder einem Unglück betroffen wird, so wurde er im vergangenen [Jahre] gerichtet, wenn nach dem Versöhnungstage, so wurde er im laufenden gerichtet!? 
Rosh Hashanah 16a:4	Raba sprach: [Auch] hieraus ist zu entnehmen, daß es zweimal gerichtet wird. Abajje sprach: Daher beeile man sich, wenn man die Spätsaaten gut gedeihen sieht, Frühsaat zu säen, denn bis es zum Richten kommt, wird sie gediehen sein. –
Rosh Hashanah 16a:5	Wer lehrte unsere Mišna: nicht R. Meír, nicht R. Jehuda, nicht R. Jose und nicht R. Nathan!? 
Rosh Hashanah 16a:6	Es wird nämlich gelehrt: Alle werden am Neujahrsfeste gerichtet, und ihr Urteil wird am Versöhnungstage besiegelt – so R. Meír. R. Jehuda sagt, alle werden am Neujahrsfeste gerichtet, und das Urteil eines jeden wird zur entsprechenden Zeit besiegelt: am Pesaḥfeste das des Getreides, am Wochenfeste das der Baumfrüchte und am Hüttenfeste das des Wassers. Der Mensch aber wird am Neujahrsfeste gerichtet und sein Urteil wird am Versöhnungstage besiegelt. 
Rosh Hashanah 16a:7	R. Jose sagt, der Mensch werde täglich gerichtet, denn es heißt:$fn240<i>du gedenkst seiner jeden Morgen</i>. R. Nathan sagt, der Mensch werde jeden Augenblick gerichtet, denn es heißt:$fn240<i>und prüfst ihn jeden Augenblick</i>. 
Rosh Hashanah 16a:8	Wolltest du sagen, es sei tatsächlich R. Jehuda, nur spreche unsere Mišna von der Besiegelung des Urteils, so besteht ja ein Widerspruch bezüglich des Menschen!? 
Rosh Hashanah 16a:9	Raba erwiderte: Es ist der Tanna der Schule R. Jišma͑éls, denn in der Schule R. Jišma͑éls wurde gelehrt: An vier Jahreszeiten wird die Welt gerichtet: am Pesaḥfeste das Getreide, am Wochenfeste die Baumfrüchte, am Hüttenfeste das Wasser und am Neujahrsfeste der Mensch, während sein Urteil am Versöhnungstage besiegelt wird. Unsere Mišna aber spricht vom Beginne des Gerichtes. 
Rosh Hashanah 16a:10	R. Ḥisda sprach: Was ist der Grund R. Joses? – Er gibt ja den Grund an: <i>du gedenkest seiner jeden Morgen</i>!? – Wir meinen es wie folgt: wie R. Nathan sagt er wohl deshalb nicht, weil ‘prüfen’ nur ‘nachdenken’ bedeutet, und auch ‘gedenken’ bedeutet ja nur ‘nachdenken’!? 
Rosh Hashanah 16a:11	Vielmehr, erklärte R. Ḥisda, R. Jose entnimmt seinen Grund hieraus;$fn241<i>daß er das Recht seines Knechtes und das Recht seines Volkes Jisraél Tag für Tag schaffe</i>.
Rosh Hashanah 16a:12	Ferner sagte R. Ḥisda: Von König und Gemeinde kommt der König zuerst vor das Gericht, denn es heißt: <i>das Recht seines Knechtes und das Recht seines Volkes Jisraél</i>. – Aus welchem Grunde? – Wenn du willst, sage ich: es ist nicht schicklich, daß der König draußen warte; wenn du aber willst, sage ich: [er trete ein] bevor der Zorn sich steigert.
Rosh Hashanah 16a:13	R. Joseph sagte: Nach wessen Ansicht beten wir jetzt für die Kranken und die Leidenden? Nach der des R. Jose. Wenn du aber willst, sage ich: auch nach der der Rabbanan, und zwar nach einer Lehre R. Jiçḥaqs, denn R. Jiçḥaq sagte: Das Beten sei für den Menschen immer gut, ob vor der Besiegelung des Urteils oder nach der Besiegelung des Urteils.
Rosh Hashanah 16a:14	Es wird gelehrt: R. Jehuda sagte im Namen R. A͑qibas: Weshalb sagte die Tora, daß man die Schwingegarbe am Pesaḥfeste darbringe? Weil am Pesaḥfeste die Getreidezeit ist. Der Heilige, gepriesen sei er, sprach nämlich: Bringt mir am Pesaḥfeste die Schwingegarbe dar, damit euch das Getreide auf den Feldern gesegnet werde. 
Rosh Hashanah 16a:15	Weshalb sagte die Tora, daß man die zwei Brote am Wochenfeste darbringe? Weil am Wochenfeste die Zeit der Baumfrüchte ist. Der Heilige, gepriesen sei er, sprach nämlich: Bringt mir am Wochenfeste die zwei Brote dar, damit euch die Baumfrüchte gesegnet werden. Weshalb gebot die Tora das Wassergießen$fn242am Hüttenfeste? Der Heilige, gepriesen sei er, sprach nämlich: Gießet mir Wasser am Hüttenfeste, damit euch der Regen des Jahres gesegnet werde. Leset vor mir [die Bibelstellen] von dem Königtume, den Erinnerungen und den Posaunentönen$fn243vor. Von dem Königtume, damit ihr mich als König anerkennt, von den Erinnerungen, damit eure Erinnerung vor mir zum Guten aufsteige. und zwar durch die Posaunentöne. 
Rosh Hashanah 16a:16	R. Abahu sagte: Weshalb wird zum Posaunenblasen das Widderhorn verwendet? Der Heilige, gepriesen sei er, sprach nämlich: Blaset vor mir mit einem Widderhorn, damit ich euch die Opferung Jiçḥaqs, des Sohnes Abrahams, gedenke, und ich rechne es euch an, als hättet ihr euch selbst für mich [zur Opferung] binden lassen.
Rosh Hashanah 16a:17	R. Jiçḥaq sagte: Weshalb bläst man am Neujahrsfeste? – ‘Weshalb bläst man’, der Allbarmherzige hat ja zu blasen geboten!? – Vielmehr, weshalb bläst man Trillertöne? – ‘Trillertöne’, der Allbarmherzige sagte ja:$fn244<i>eine Erinnerung des Lärmblasens</i>!? – Vielmehr, weshalb bläst man einfache und Trillertöne sitzend, 
Rosh Hashanah 16b:1	und abermals einfache und Trillertöne stehend? – Um den Satan zu verwirren.
Rosh Hashanah 16b:2	Ferner sagte R. Jiçḥaq: Wird am Anfang des Jahres nicht geblasen, so wird dessen Ende schlecht$fn245sein, weil der Satan nicht verwirrt worden ist.
Rosh Hashanah 16b:3	Ferner sagte R. Jiçḥaq: Ist das Jahr am Anfang arm, so ist es am Ende reich, denn es heißt:$fn246<i>vom Beginne des Jahres</i>, die Schreibweise ist <i>Armut</i>$fn247; <i>bis zum Schlusse</i>, ein Jahr, das einen Abschluß$fn248hat.
Rosh Hashanah 16b:4	Ferner sagte R. Jiçḥaq: Der Mensch wird nur nach seinen jeweiligen Taten gerichtet, denn es heißt:$fn249<i>denn Gott hörte auf die Stimme des Knaben, wie er da war</i>.
Rosh Hashanah 16b:5	Ferner sagte R. Jiçḥaq: Drei Dinge bringen die Sünden des Menschen in Erinnerung und zwar: eine sich neigende Wand, das Nachsinnen beim Gebete, und wenn man seinen Nächsten anklagt. Auch sagte R. Abin: Wer seinen Nächsten anklagt, wird zuerst bestraft, denn es heißt :$fn250<i>und Saraj sprach zu Abram: An meiner Kränkung bist du schuld</i>; und es heißt:$fn251<i>und Abraham ging hin, um wegen Sara zu klagen und sie zu beweinen</i>$fn252.
Rosh Hashanah 16b:6	Ferner sagte R. Jiçḥaq: Vier Dinge zerreißen das Urteil des Menschen, und zwar: Almosen, Gebet, Änderung des Namens und Änderung der Taten. Almosen, denn es heißt:$fn253 <i>Almosen</i>$fn254<i>rettet vom Tode</i>. Gebet, denn es heißt:$fn255<i>da schrien sie zum Herrn in ihrer Not und er befreite sie aus ihren Bedrängnissen</i>. Änderung des Namens, denn es heißt:$fn256<i>deinWeib Saraj sollst du nicht mehr Saraj nennen, sondern Sara soll ihr Name sein</i>, und darauf heißt es :$fn257<i>und ich will sie segnen, und ich will dir auch durch sie einen Sohn schenken</i>. Änderung der Taten, denn es heißt: $fn258und Gott gewahrte ihr Tun, und darauf heißt es:$fn258<i>da ließ sich Gott das Urteil gereuen, das er ihnen angedroht hatte, und er fügte es ihnen nicht zu</i>. 
Rosh Hashanah 16b:7	Manche sagen: Auch die Änderung des Aufenthaltsortes, denn es heißt:$fn259<i>und der Herr sprach zu Abram: ziehe hinweg aus deinem Lande</i>, und darauf heißt es:$fn260<i>und ich will dich zu einem großen Volke machen</i>. – Und jener!? – Da hat ihm nur das Verdienst des heiligen Landes beigestanden.
Rosh Hashanah 16b:8	Ferner sagte R. Jiçḥaq: Es ist Pflicht des Menschen, seinen Lehrer am Feste zu besuchen, denn es heißt:$fn261<i>warum gehst du zu ihm? Ist doch heute weder Neumond noch Šabbath</i>. Hieraus, daß man ihn am Neumond und am Šabbath besuche.
Rosh Hashanah 16b:9	Ferner sagte R. Jiçḥaq : Es ist Pflicht des Menschen, zum Feste ein Reinheitsbad zu nehmen, denn es heißt:$fn262<i>ihr Aas dürft ihr nicht berühren</i>$fn263. 
Rosh Hashanah 16b:10	Ebenso wird gelehrt: Ihr Aas dürft ihr nicht berühren; man könnte glauben, auch Jisraéliten sei das Berühren des Aases verboten, so heißt es :$fn264<i>sprich zu den Priestern, den Kindern Ahrons</i>; den Kindern Ahrons ist es verboten, den Jisraéliten aber ist es nicht verboten. 
Rosh Hashanah 16b:11	Hieraus ist [durch einen Schluß] vom Schwereren auf das Leichtere zu folgern: wenn schon die strengere Unreinheit$fn265nur den Priestern und nicht den Jisraéliten verboten ist, um wieviel mehr die leichtere Unreinheit. Wieso aber heißt es demnach: <i>ihr Aas dürft ihr nicht berühren?</i> Am Feste.
Rosh Hashanah 16b:12	R. Keruspedaj sagte im Namen R. Joḥanans: Drei Bücher werden am Neujahrsfeste aufgeschlagen : eines für die völlig Gottlosen, eines für die völlig Frommen und eines für die Mittelmäßigen. Die völlig Frommen werden sofort zum Leben aufgeschrieben und besiegelt, die völlig Gottlosen werden sofort zum Tode aufgeschrieben und besiegelt, und die Mittelmäßigen bleiben vom Neujahrsfeste bis zum Versöhnungstage in der Schwebe; haben sie sich verdient gemacht, so werden sie zum Leben verschrieben, haben sie sich nicht verdient gemacht, so werden sie zum Tode verschrieben.
Rosh Hashanah 16b:13	R. Abin sagte: Hierauf deutet folgender Schriftvers:$fn266<i>sie mögen ausgelöscht werden aus dem Buche des Lebens, mit den Frommen sollen sie nicht aufgeschrieben werden. Sie mögen ausgelöscht werden aus dem Buche</i>, das ist das Buch der völlig Gottlosen; <i>des Lebens</i>, das ist das Buch der [völlig] Frommen; <i>mit den Frommen sollen sie nicht aufgeschrieben werden</i>, das ist das Buch der Mittelmäßigen. 
Rosh Hashanah 16b:14	R. Naḥman b. Jiçḥaq sagte: Hieraus:$fn267<i>wo nicht, so streiche mich doch lieber aus deinem Buche, das du geschrieben hast. Streiche mich doch lieber</i>, das ist das Buch der Frevler; <i>aus deinem Buche</i>, das ist das Buch der Frommen; <i>das du geschrieben hast</i>, das ist das Buch der Mittelmäßigen.
Rosh Hashanah 16b:15	Es wird gelehrt: Die Schule Šammajs sagte: Drei Klassen gibt es am Gerichtstage; eine der völlig Frommen, eine der völlig Gottlosen und eine der Mittelmäßigen. Die völlig Frommen werden sofort zum ewigen Leben aufgeschrieben und besiegelt, die völlig Gottlosen werden sofort für das Fegefeuer aufgeschrieben und besiegelt, denn es heißt :$fn268<i>und viele von denen, die im Erdenstaube schlafen, werden erwachen, die einen zum ewigen Leben, die anderenc zur Schmach und zum ewigen Abscheu</i>; die Mittelmäßigen sinken in das Fegefeuer, 
Rosh Hashanah 17a:1	wo sie [vor Schmerz] heulen, und steigen wieder herauf, denn es heißt:$fn269<i>ich brinqe das Drittel ins Feuer, schmelze sie, wie man Silber und läutere sie, wie man Gold läutert. Sie werden meinen Namen anrufen, und ich werde sie erhören</i>. Über diese sprach Ḥanna:$fn270<i>Der Herr tötet und macht lebendig, er stürzt in die Unterwelt und führt herauf</i>. 
Rosh Hashanah 17a:2	Die Schule Hillels sagte:$fn271<i>Er ist gnadenreich</i>, er neigt zur Gnade; über diese sprach David: $fn272<i>es ist mir lieb, daß der Herr meine Stimme und mein Flehen erhört</i>. Auch den ganzen Abschnitt sprach David über diese:$fn273<i>Ich bin arm, so hilft er mir</i>. 
Rosh Hashanah 17a:3	Die mit ihrem Körper Frevelnden Jisraéls und die Frevler der weltlichen Völker sinken in das Fegefeuer und werden da zwölf Monate gerichtet. Nach zwölf Monaten sind ihre Körper vernichtet und ihre Seelen verbrannt, und der Wind zerstreut sie unter die Fußsohlen der Frommen, denn es heißt:$fn274<i>ihr werdet die Frevler zertreten, daß sie unter euren Fußsohlen zu Asche werden</i>. 
Rosh Hashanah 17a:4	Die Minäer aber, die Angeber, die Abtrünnigen, die Gottesleugner$fn275, die die [Göttlichkeit der] Tora und die Auferstehung der Toten leugnen, die sich vom Wege der Gemeinschaft trennen, die Schrecken im Lande der Lebenden verbreiten$fn276 und die gesündigt und die Menge zur Sünde verleitet haben, wie zum Beispiel Jarobea͑m, der Sohn Nebaṭs, und seine Genossen, sinken in das Fegefeuer und werden da bis in alle Ewigkeit gerichtet, denn es heißt: $fn277<i>und sie werden hinausgehen und die Leichname der Männer ansehen, die mir abtrünnig geworden sind &amp;c</i>. 
Rosh Hashanah 17a:5	Das Fegefeuer hört auf, sie [zu leiden] aber hören nicht auf, denn es heißt:$fn278<i>und ihre Gestalt verwest in der Unterwelt</i>. – Weshalb all dies? Weil sie sich an der Wohnung vergriffen haben, denn es heißt :$fn278<i>wegen seiner Wohnung</i>, und unter ‘Wohnung’ ist nichts anderes als der Tempel zu verstehen, wie es heißt :$fn279<i>eine Wohnung habe ich für dich gebaut</i>. Über sie sprach auch Hanna :$fn280<i>die Widersacher des Herrn werden zerschmettert</i>. 
Rosh Hashanah 17a:6	R. Jiçḥaq b. Abin sagte: Ihre Gesichter gleichen den Rändern eines Kochtopfes. Raba sagte: Und diese sind noch von den Allerbesten der Einwohner von Mehoza ; sie werden ‘Kinder des Fegefeuers’ genannt.
Rosh Hashanah 17a:7	Der Meister sagte: Die Schule Hillels sagte: <i>Er ist gnadenreich</i>, er neigt zur Gnade. Es heißt ja aber: <i>ich bringe das Drittel ins Feuer</i>!? – Dies gilt von den mit ihrem Körper Frevelnden Jisraéls. – 
Rosh Hashanah 17a:8	Du sagtest ja aber, für die mit ihrem Körper Frevelnden Jisraéls gebe es kein Mittel mehr!? – Wenn sie mehr Sünden als Verdienste haben, so gibt es für sie kein Mittel mehr, dies aber gilt von solchen, die zur Hälfte Sünden und zur Hälfte Verdienste haben. Haftet ihnen auch die Sünde der mit ihrem Körper Frevelnden Jisraéls an, so heißt es über sie: <i>ich bringe das Drittel ins Feuer</i>, wenn aber nicht: <i>er ist gnadenreich</i>, er neigt zur Gnade, und über sie spricht David: <i>es ist mir lieb, daß der Herr meine Stimme erhört</i>.
Rosh Hashanah 17a:9	Raba trug vor: Es heißt: <i>es ist mir lieb, daß der Herr meine Stimme erhört</i>. Die Gemeinde Jisraél sprach vor dem Heiligen, gepriesen sei er: Herr der Welt, lieb bin ich dir dann, wenn du die Stimme meines Flehens erhörst. <i>Ich bin arm, so hilft er mir</i>; obgleich ich arm an Verdiensten bin, so ist es dennoch billig, mir zu helfen.
Rosh Hashanah 17a:10	Wer ist ein mit seinem Körper Frevelnder Jisraéls? Rabh erwiderte: Der Kopf, der keine Tephillin anhat. – Wer heißt ein mit seinem Körper Frevelnder unter den weltlichen Völkern? Rabh erwiderte: Der der Sünde frönt. – 
Rosh Hashanah 17a:11	[Wer ist es,] der Schrecken im Lande der Lebenden verbreitet? R. Ḥisda erwiderte: Ein Gemeindevorsteher, der nicht um des Himmels wegen der Gemeinde übermäßige Furcht einjagt. R. Jehuda sagte im Namen Rabhs: Ein Gemeindevorsteher, der nicht um des Himmels wegen der Gemeinde übermäßige Furcht ein jagt, wird keinen schriftgelehrten Sohn haben, denn es heißt :$fn281<i>darum fürchten ihn die Menschen, die klugen Sinnes sieht er nicht</i>.
