Topic,English description,Is a Type Of,Is a Type Of 2,Has Edge,To Topic (Original),To Topic (Actual),English description,Is a Type Of
מילה,bris milah,halachic process,,temporally contained in,דור המדבר מילה,דור המדבר מילה,generation of desert and bris milah,biblical historical event
מילה,bris milah,halachic process,,temporally contained in,משה מילה,משה מילה,Moshe bris milah,biblical historical event
מילה,bris milah,halachic process,,has participant,ערלה,ערל ערלה,uncircumcized/sealed,quality
מיכאל,,spiritual entity,,is a,מלאך,מלאך,angel/messenger,spiritual entity
משומד,apostate,quality,,similar to,אפיקורוס,אפיקורוס,type of heretic,role
משומד,apostate,quality,,similar to,כופר,כפירה,heresy/denial,theological process
משומד,apostate,quality,,similar to,מומר,מומר,apostate,role
מחיצה של ברזל,iron wall,phrase,,related to,אלקים וישראל,אלקים וישראל,HaShem and Israel,relationship
מחיצה של ברזל,iron wall,phrase,,related to,תפלה,תפלה,prayer,theological process
מלך מלכות,king,role,,has specific dependence,אלקים מלכות,אלקים מלכות,HaShem monarchy,divine role
מלך מלכות,king,role,,role of,דוד,דוד,,biblical person
מלך מלכות,king,role,,similar to,נשיא,נשיא,leader/representative,role
מלך מלכות,king,role,,role of,שלמה,שלמה,,biblical person
מלך מלכות,king,role,,similar to,שר,שררה,authority,role
מנה מנין,count,process,,synonymous with,מנין,מנין,census/count,process
מנה מנין,count,process,,similar to,מספר,מספר,quantity/numbers,quality
מספר עשרה,number 10,number,,related to,מנין,מנין,census/count,process
מספר עשרה,number 10,number,,related to,צבור,צבור,community/collective,group of people
מספר עשרה,number 10,number,,related to,קדושה,קדושה קדש,holiness,quality
מספר עשרה,number 10,number,,related to,תפלה,תפלה,prayer,theological process
מים אחרונים,,halachic process,,has halachic application,אכילה,אכילה,eating,process
מים אחרונים,,halachic process,,has halachic application,ברכת המזון,ברכת המזון,blessing after meal,halachic process
מים אחרונים,,halachic process,,is a,נטילת ידים,נטילת ידים,washing hands,halachic process
מבטא,dialect,language,,related to,דבור,דבור,speech,process
מבטא,dialect,language,,related to,לשון,לשון,tongue/language,language entity
מבטא,dialect,language,,related to,לשון הקדש,לשון הקודש,,language
מי שפרע,"""he who exacted punishment from...""",phrase,,related to,דבור,דבור,speech,process
מי שפרע,"""he who exacted punishment from...""",phrase,,related to,מסחר,מסחר,business,process
מקושש,wood gatherer incident,biblical historical event,,has participant,דור המדבר,דור המדבר,generation of desert,group of people
מקושש,wood gatherer incident,biblical historical event,,related to,צלפחד,צלפחד,,biblical person
מספר ששים,number 60,number,,related to,מספר ששה,מספר ששה,number 6,number
משה תפלה לעצמו,Moshe prayer for himself,biblical historical event,theological process,is a,משה תפלה,משה תפלה,Moshe prayer,theological process
מח,brain,fiat object part,,related to,אדם ידיעה,אדם ידיעה,knowledge of man,knowledge
מח,brain,fiat object part,,participates in,מחשבה,מחשבה,thought,process
מח,brain,fiat object part,,physically contained in,ראש,,#N/A,#N/A
מח,brain,fiat object part,,related to,שכל,שכל בינה,mind/intelligence,object
משיח,messiah/annointed,role,,related to,אליהו גאולה,אליהו,,biblical person
משיח,messiah/annointed,role,,participates in,אליהו גאולה,גאולה,redemption,process
משיח,messiah/annointed,role,,related to,לעתיד לבא,לעתיד לבא,future to come,theological process
משיח,messiah/annointed,role,,is category of,משיח בן יוסף,משיח בן יוסף,messiah from yosef,role
ממון,money/property,group of inanimate objects,,similar to,כסף,כסף,money/silver,inanimate object
ממון,money/property,group of inanimate objects,,similar to,נכסים,נכסים,assets,group of inanimate objects
ממון,money/property,group of inanimate objects,,related to,עשיר,עשיר,wealthy person,quality
ממון,money/property,group of inanimate objects,,related to,פרנסה,פרנסה,work/earning a living,process
ממון,money/property,group of inanimate objects,,similar to,רכוש,רכוש,property,object
מכסת,value/portion/count,quality,,similar to,חשבון,חשבון,calculation,process
מכסת,value/portion/count,quality,,related to,מכס,מכס,tax,role
משה וצפורה,Moshe and Tzipporah,specific biblical person relationship,,related to,יתרו,יתרו,,biblical person
משה וצפורה,Moshe and Tzipporah,specific biblical person relationship,,related to,משה ובניו במדין,משה ובניו,Moshe and his children,group of people
משה וצפורה,Moshe and Tzipporah,specific biblical person relationship,,related to,משה ובניו במדין,משה במדין,Moshe in Midyan,biblical historical event
משה וצפורה,Moshe and Tzipporah,specific biblical person relationship,,specifically dependent on,צפורה,צפורה,,biblical person
מצח,forehead,fiat object part,,physically contained in,פנים,פנים,face,fiat object part
מצח,forehead,fiat object part,,physically contained in,ראש,,#N/A,#N/A
מליקה,slaughtering by hand,halachic process,,has participant,קרבן,קרבן,korban/offering,halachic role
מדרש,,source,,similar to,אגדה,אגדה,"midrash, homily",source
מדרש,,source,,specifically dependent on,דרש,דרש דרשה,exegesis,meta halacha
מדרש,,source,,is a,תורה שבעל פה,תורה שבכתב ושבעל פה,written and oral Torah,source
מזל,constellation/destiny,object,,related to,הנהגה,הנהגה,HaShem controlling the universe,theological process
מזל,constellation/destiny,object,,related to,השגחה,השגחה,providence,theological tenet
מזל,constellation/destiny,object,,has specific dependence,ישראל מזל,ישראל מזל,mazal and Jewish people,theology
מזל,constellation/destiny,object,,similar to,כוכב,כוכב,celestial object,inanimate object
מי סוטה,water for sotah,inanimate object,,has halachic application,סוטה,סוטה,accused woman,halachic role
מנוחה,rest,process,,dissimilar to,מלאכה,מלאכה,work,process
מנוחה,rest,process,,dissimilar to,עבודה,עבודה פעולה,working,process
מנוחה,rest,process,,participates in,שבת,שבת,,holiday
משה עמלק,Moshe vs. amalek,biblical historical event,,related to,משה ויהושע,משה ויהושע,Moshe and Yehoshua,specific biblical person relationship
משה עמלק,Moshe vs. amalek,biblical historical event,,related to,עמלק מחיית,עמלק מחיית זכר,annihilating memory of Amalek,halachic process
מאכלת,knife,inanimate object,,similar to,סכין,סכין,knife,inanimate object
מלמד,teacher,role,,participates in,הוראה,הוראה,psak halacha,halachic process
מלמד,teacher,role,,participates in,חנוך,חנוך אב ובן,chinuch,process
מלמד,teacher,role,,participates in,למוד,למוד,learning,process
מלמד,teacher,role,,similar to,רב,רב רבנות,teacher/master/superior,role
מלמד,teacher,role,,dissimilar to,תלמיד,תלמיד,student,role
מרים בת בייתוס,,mishnaic person,,synonymous with,מרתא בת בייתוס,מרתא בת בייתוס,,mishnaic person
מרבכת,scalded,material quality,,related to,קרבן מנחה,קרבן מנחה,minchah korban,halachic role
מזבח,altar,structure,,is a,כלי מקדש,כלי מקדש,items of the temple,group of inanimate objects
מוג,oppressor,quality,,related to,ירא,ירא יראה,fear/awe,emotion
מוג,oppressor,quality,,related to,פחד,פחד,fear,emotion
מרחק,distance,material quality,,is a,מדה,מדה מדד,measurement,material quality
מרחק,distance,material quality,,related to,מקום,מקום,place/space,quality
מילדת,midwife,role,,has specific dependence,גלות מצרים מילדות,גלות מצרים המילדות,the midwives in egypt,group of people
מילדת,midwife,role,,participates in,לידה,לידה,giving birth,lifecycle process
מלאך,angel/messenger,spiritual entity,role,has specific dependence,אדם מלאך,אדם ומלאך,man and angel,relationship
מלאך,angel/messenger,spiritual entity,role,is category of,גבריאל,גבריאל,,spiritual entity
מלאך,angel/messenger,spiritual entity,role,is category of,חיות הקדש,מלאך חיות,type of angel,spiritual entity
מלאך,angel/messenger,spiritual entity,role,has specific dependence,יעקב והמלאך,יעקב והמלאך,Yaakov and angel,specific biblical person relationship
מלאך,angel/messenger,spiritual entity,role,is category of,מטטרון,מטטרון,,spiritual entity
מלאך,angel/messenger,spiritual entity,role,is category of,מיכאל,מיכאל,,spiritual entity
מלאך,angel/messenger,spiritual entity,role,is category of,מלאך המות,מלאך המות,angel of death,spiritual entity
מעשר עני,tithe for poor,halachic role,,is a,מתנות עניים,מתנות עניים,gifts to poor,halachic role
מסכתא,tractate/loom,source,,related to,תורה שבעל פה,תורה שבכתב ושבעל פה,written and oral Torah,source
מסכתא,tractate/loom,source,,physically contained in,תלמוד,תלמוד,talmud,source
ממעל,above,preposition,,similar to,על,על,to/on/before/with/for,preposition
משלח מנות,gifts on Purim,halachic role,,participates in,פורים,פורים,purim,rabbinic holiday
משח משיחה,annointing with oil,process,,participates in,כהונה מלואים,כהונה מלואים,kohen inauguration,halachic process
משח משיחה,annointing with oil,process,,related to,משיח,משיח,messiah/annointed,role
