Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Exodus 23 1,"You are not to take up an empty rumor.<br>Do not put your hand [in] with a guilty person, to become a witness for wrongdoing."
Exodus 23 2,You are not to go after many to do evil.<br>And you are not to testify in a quarrel so as to turn aside toward many—[and thus] turn away.
Exodus 23 3,Even a poor-man you are not to respect as regards his quarrel.
Exodus 23 4,"When you encounter your enemy’s ox or his donkey straying, return it, return it to him."
Exodus 23 5,"When you see the donkey of one who hates you crouching under its burden, restrain from abandoning it to him—<br>unbind, yes, unbind it together with him."
Exodus 23 6,You are not to turn aside the rights of your needy as regards his quarrel.
Exodus 23 7,"From a false matter, you are to keep far!<br>And one clear and innocent, do not kill,<br>for I do not acquit a guilty-person."
Exodus 23 8,"A bribe you are not to take,<br>for a bribe blinds the open-eyed,<br>and twists the words of the righteous."
Exodus 23 9,"A sojourner, you are not to oppress:<br>you yourselves know the sojourner’s feelings,<br>for sojourners were you in the land of Egypt."
Exodus 23 10,"For six years you are to sow your land and to gather in its produce,"
Exodus 23 11,"but in the seventh, you are to let it go and to let it be,<br>that the needy of your people may eat,<br>and their surplus, the wildlife of the field may eat.<br>Do thus with your vineyard, with your olive-grove."
Exodus 23 12,"For six days you are to make your labor,<br>but on the seventh day, you are to cease,<br>in order that your ox and your donkey may rest<br>and the son of your handmaid and the sojourner may pause-for-breath."
Exodus 23 13,"In all that I say to you, take care!<br>The name of other gods, you are not to mention,<br>it is not to be heard in your mouth."
Exodus 23 14,"Three times you are to hold pilgrimage for me, every year."
Exodus 23 15,"The Pilgrimage-Festival of <i>Matzot</i> you are to keep:<br>for seven days you are to eat <i>matzot,</i> as I commanded you,<br>at the appointed-time of the Month of Ripe-Grain—<br>for in it you went out of Egypt,<br>and no [one] is to be seen before my presence empty-handed;"
Exodus 23 16,"and the Pilgrimage-Festival of the Cutting, of the firstlings of your labor, of what you sow in the field;<br>and the Pilgrimage-Festival of Ingathering, at the going out of the year,<br>when you gather in your labor’s [harvest] from the field."
Exodus 23 17,"At three points in the year<br>are all your males to be seen<br>before the presence of the Lord, <small>YHWH</small>."
Exodus 23 18,"You are not to sacrifice my blood offering with anything fermented.<br>The fat of my festive-offering is not to remain overnight, until morning."
Exodus 23 19,"The choicest firstlings of your soil, you are to bring to the house of <small>YHWH</small> your God.<br>You are not to boil a kid in the milk of its mother."
Exodus 23 20,"Here, I am sending a messenger before you<br>to care for you on the way,<br>to bring you to the place that I have prepared."
Exodus 23 21,"Take care in his presence,<br>and hearken to his voice;<br>do not be rebellious against him,<br>for he is not able to bear your transgressing,<br>for my name is with him."
Exodus 23 22,"Rather, hearken, yes, hearken to his voice,<br>and do all that I speak,<br>and I will be-an-enemy to your enemies,<br>and I will be-an-adversary to your adversaries."
Exodus 23 23,"When my messenger goes before you<br>and brings you<br>to the Amorite, the Hittite, the Perizzite, and the Canaanite, the Hivvite and the Yevusite,<br>and I cause them to be effaced:"
Exodus 23 24,"you are not to bow down to their gods<br>and you are not to serve them,<br>and you are not to do according to what they do;<br>rather, you are to tear, yes, tear them down,<br>and are to smash, yes, smash their standing-stones."
Exodus 23 25,"You are to serve <small>YHWH</small> your God!<br>and he will give-blessing to your food and your water,<br>and I will remove sickness from amongst you."
Exodus 23 26,"There will be no miscarrier or barren-one in your land,<br>[and] the number of your days I will make full."
Exodus 23 27,"My terror I will send on before you;<br>I will throw-into-panic all the peoples among whom you come,<br>and I will give all your enemies to you by the neck."
Exodus 23 28,"I will send Despair on before you<br>so that it drives out the Hivvite, the Canaanite and the Hittite from before you."
Exodus 23 29,"I will not drive them out from before you in one year,<br>lest the land become desolate<br>and the wildlife of the field become-many against you;"
Exodus 23 30,"little by little will I drive them out from before you,<br>until you have borne-fruit and inherited the land."
Exodus 23 31,"And I will make your territory<br>from the Sea of Reeds to the Sea of the Philistines,<br>from the Wilderness to the River.<br>For I give into your hand the settled-folk of the land, that you may drive them out from before you."
Exodus 23 32,You are not to cut with them or with their gods any covenant;
Exodus 23 33,"they are not to stay in your land, lest they cause you to sin against me&mdash<br>indeed, you would serve their gods;<br>indeed, that would be a snare to you!"
Exodus 24 1,"Now to Moshe he said:<br>Go up to <small>YHWH</small>,<br>you and Aharon, Nadav and Avihu, and seventy of the elders of Israel,<br>and bow down from afar;"
Exodus 24 2,"Moshe alone is to approach <small>YHWH</small>,<br>but they, they are not to approach,<br>and as for the people—they [too] are not to go up with him."
Exodus 24 3,"So Moshe came<br>and recounted to the people all the words of <small>YHWH</small> and all the regulations.<br>And all the people answered in one voice, and said:<br>All the words that <small>YHWH</small> has spoken, we will do."
Exodus 24 4,Now Moshe wrote down all the words of <small>YHWH</small>.<br>He started-early in the morning<br>and built an altar beneath the mountain<br>and twelve standing-stones for the twelve tribes of Israel.
Exodus 24 5,"Then he sent the [serving-]lads of the Children of Israel,<br>that they should offer-up offerings-up and sacrifice <i>shalom<i>-offerings for <small>YHWH</small>—bulls."
Exodus 24 6,"Moshe took half of the blood and put it in craters,<br>and half of the blood he tossed against the altar."
Exodus 24 7,"Then he took the record of the covenant<br>and read it in the hearing of the people.<br>They said:<br>All that <small>YHWH</small> has spoken, we will do and we will hearken!"
Exodus 24 8,"Moshe took the blood, he tossed it on the people<br>and said:<br>Here is the blood of the covenant<br>that <small>YHWH</small> has cut with you<br>by means of all these words."
Exodus 24 9,"Then went up<br>Moshe and Aharon, Nadav and Avihu, and seventy of the elders of Israel;"
Exodus 24 10,"and they saw<br>the God of Israel: now beneath his feet,<br>[something] like work of sapphire tiles,<br>[something] like the substance of the heavens in purity."
Exodus 24 11,"Yet against the Pillars of the Children of Israel, he did not send forth his hand;<br>they beheld Godhood<br>and ate and drank."
Exodus 24 12,"Now <small>YHWH</small> said to Moshe:<br>Go up to me on the mountain<br>and remain there,<br>that I may give you tablets of stone:<br>the Instruction and the Command<br>that I have written down, to instruct them."
Exodus 24 13,"Moshe arose, and Yehoshua his attendant,<br>and Moshe went up to the mountain of God."
Exodus 24 14,"Now to the elders he said:<br>Stay here for us, until we return to you;<br>here, Aharon and Hur are with you—<br>whoever has a legal-matter is to approach them."
Exodus 24 15,"So Moshe went up the mountain,<br>and the cloud covered the mountain;"
Exodus 24 16,"the Glory of <small>YHWH</small> took up dwelling on Mount Sinai.<br>The cloud covered it for six days,<br>and he called to Moshe on the seventh day from amidst the cloud."
Exodus 24 17,And the sight of the Glory of <small>YHWH</small><br>was like a consuming fire<br>on top of the mountain<br>in the eyes of the Children of Israel.
Exodus 24 18,Moshe came into the midst of the cloud<br>and he went up the mountain.<br>And Moshe was on the mountain<br>for forty days and forty nights.
Exodus 25 1,"Now <small>YHWH</small> spoke to Moshe, saying:"
Exodus 25 2,"Speak to the Children of Israel,<br>that they may take me a raised-contribution;<br>from every man whose heart makes-him-willing, you are to take my contribution."
Exodus 25 3,"And this is the contribution that you are to take from them:<br>gold, silver, and bronze,"
Exodus 25 4,"blue-violet, purple, and worm scarlet [yarn], byssus, and goats’-hair,"
Exodus 25 5,"rams’ skins dyed-red, tanned-leather skins,<br>acacia wood,"
Exodus 25 6,"oil for lighting,<br>spices for oil of anointing and for fragrant smoking-incense,"
Exodus 25 7,"onyx stones, stones for setting<br>for the <i>efod</i> and for the Breastpiece."
Exodus 25 8,Let them make me a Holy-Shrine<br>that I may dwell amidst them.
Exodus 25 9,"Exactly as I grant you to see,<br>the building-pattern of the Dwelling and the building-pattern of all its implements,<br>thus are you to make it."
Exodus 25 10,"They are to make<br>a Coffer of acacia wood,<br>two cubits and a half its length,<br>a cubit and a half its width,<br>and a cubit and a half its height."
Exodus 25 11,"You are to overlay it with pure gold,<br>inside and outside you are to overlay it,<br>and are to make upon it a rim of gold all around."
Exodus 25 12,"You are to cast for it four rings of gold<br>and are to put them upon its four feet,<br>with two rings on its one flank<br>and two rings on its second flank."
Exodus 25 13,You are to make poles of acacia wood<br>and are to overlay them with gold
Exodus 25 14,"and are to bring the poles into the rings on the flanks of the Coffer,<br>to carry the Coffer by means of them."
Exodus 25 15,In the rings of the Coffer are the poles to remain;<br>they are not to be removed from it.
Exodus 25 16,And you are to put in the Coffer<br>the Testimony that I give you.
Exodus 25 17,"You are to make a purgation-cover of pure gold,<br>two cubits and a half its length<br>and a cubit and a half its width."
Exodus 25 18,"You are to make two winged-sphinxes of gold;<br>of hammered-work are you to make them,<br>at the two ends of the purgation-cover."
Exodus 25 19,"Make one sphinx at the end here<br>and one sphinx at the end here;<br>from the purgation-cover you are to make the two sphinxes,<br>at its two ends."
Exodus 25 20,"And the sphinxes are to be spreading [their] wings upward<br>with their wings sheltering the purgation-cover,<br>their faces, each-one toward the other;<br>toward the purgation-cover are the sphinxes’ faces to be."
