"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, Ii Yoreh Deah.141.1","<i>Q</i>. B claims that he deposited a Gentile's pledge with A as security for a loan, that subsequently thereto he repaid both the principal and the interest to A, but that the Gentile failed to pay him, B, the interest. A avers that when B came to redeem the Gentile's pledge, he asked B whether the Gentile paid him the interest, and that B replied that he had. Is A entitled to any interest on his loan to B?"
"Meir, Ii Yoreh Deah.141.2","<i>A</i>. A is not entitled to any interest on his loan to B, even if the Gentile paid interest to B, unless B transferred the Gentile's debt to A, at the time A extended B the loan, and B completely withdrew from the transaction with the Gentile."
"Meir, Ii Yoreh Deah.141.3","S<small>OURCES</small>: <i>Mordecai Hagadol</i>, p. 277a."
"Meir, Ii Yoreh Deah.142.1","<i>Q</i>. To redeem his pledges C, a trustee, assigned to A and B a debt due him from a Gentile, on condition that A and B collect the interest as well as the principal. May A and B collect the interest from the Gentile?"
"Meir, Ii Yoreh Deah.142.2","<i>A</i>. They may not; a debt due from a Gentile can not be assigned in any manner, even if accompanied by a <i>kinyan</i> or made in the presence of the three parties involved in the transaction; hence the accrued interest belongs to the original creditor."
"Meir, Ii Yoreh Deah.142.3","S<small>OURCES</small>: Pr. 354; 989; L. 404; Mord. B.B. 614. Cf. <i>Agudah</i> B.B. 197; Israel Bruno, <i>Responsa</i> 160; ibid. 209."
"Meir, Ii Yoreh Deah.143.1","<i>Q</i>. A claimed: a) that B owed him ten <i>marks;</i> b) that when he demanded that money from B, the latter transferred to him an investment of ten <i>marks</i> in the hands of the bishop, and told him to collect both the principal and the interest from that day on; and c) that B thus owed him the principal and the interest of such investment. B, however, refused to pay the interest to A. Thereupon the judges by arbitration decided that B pay A the greater part of such interest, and transfer the debt to him."
"Meir, Ii Yoreh Deah.143.2","<i>A</i>. The arbitrators and the witnesses have transgressed the commandment: ""thou shalt not lay upon him interest (Ex. 22, 24)"", while the creditor has violated several negative commandments. A debt in the hands of a Gentile can not be transferred to another by a simple agreement of the three parties concerned. Such a debt may legally be transferred to a third party in the following manner only: The creditor must say to the Gentile debtor and to the sureties: ""Obligate yourselves to pay to A the debt which you owe me; if you will do so, I shall release you from your obligations toward me."" Should the debtor and the sureties agree to the arrangement, only then will the debt be transferred to A."
"Meir, Ii Yoreh Deah.143.3","S<small>OURCES</small>: Tesh. Maim. to <i>Mishpatim</i>, 68. Cf<i>. Agudah</i> B.B. 197; Weil, <i>Responsa</i> 33."
"Meir, Ii Yoreh Deah.144.1","<i>Q</i>. A lent money to a Gentile on a monthly rate of interest and received as security a pledge worth double the amount of the loan. A, needing money, asked B to take over the Gentile's loan and collect the interest. B paid A the amount due the latter from the Gentile and A said: ""From now on it is yours."" Subsequently, the Gentile failed to redeem the pledge. Is A permitted to recover the pledge and pay B the principal plus the interest accumulated during the time the pledge was in B's possession, or would such payment of interest constitute usury? Moreover, since a Jew does not gain title to a Gentile's pledge (Pesach. 31b), may B refuse to return the pledge to A on the ground that A sold his rights in that pledge to B?"
"Meir, Ii Yoreh Deah.144.2","<i>A</i>. Since A did not gain title to the pledge, it is assumed that he surrendered all his rights to the pledge upon handing it to B. Therefore, B became the creditor of the gentile (and not A's creditor) and was entitled to the interest on his loan. Thus B, upon surrendering the pledge to A, has a right to receive from A the principal plus the interest due B from the Gentile; and B has the further right to keep the pledge for himself."
"Meir, Ii Yoreh Deah.144.3",S<small>OURCES</small>: Pr. 795; cf. Mord. B.M. 338.
"Meir, Ii Yoreh Deah.145.1","<i>Q</i>. A and B lent money on interest in partnership. Subsequently, A withdrew from the partnership and gave his part of the loan to B. Is this transaction valid?"
"Meir, Ii Yoreh Deah.145.2","<i>A</i>. A healthy person can assign his loans to another only in the presence of all three interested parties, viz: the assignor, the assignee, and the debtor. This mode of assignment is valid only if the interested parties are Jews. Since in this case the debtor was a Gentile, the assignment of the loan was not valid and the accrued interest belongs to A."
"Meir, Ii Yoreh Deah.145.3",S<small>OURCES</small>: Cr. 61; Pr. 150; L. 376.
"Meir, Ii Yoreh Deah.146.1","<i>Q</i>. R. Eliezer (a relative of R. Meir?) and B jointly lent money to a Gentile. When half of the debt was repaid, R. Eliezer permitted B to take the entire half, as his full payment of his part of the loan. Would this constitute a termination of the partnership entitling R. Eliezer to the entire interest that will accrue on the remaining one-half of the debt?"
"Meir, Ii Yoreh Deah.146.2",<i>A</i>. Yes. A partnership may be dissolved by the mere verbal consent of all the members thereof.
"Meir, Ii Yoreh Deah.146.3",S<small>OURCES</small>: Pr. 1008.
"Meir, Ii Yoreh Deah.147.1","<i>Q</i>. A's father, before his death, deposited his books with B (a trustee) as security for a dowry of twenty-four <i>marks</i>, which he promised his son C. He subsequently paid B eighteen <i>marks</i>, leaving a balance of six <i>marks</i>. C's brother, A, representing his mother, Bruna, now demands that B permit him to redeem his father's books for six <i>marks</i>. B, however, claims that when C demanded the six <i>marks</i> from his mother, she, in payment of that amount, assigned to C a debt of twenty-three pounds D owed her, and pledged the books for that amount. B, therefore, demands twenty-three pounds to be paid to C before he returns the books. A, however, claims that anything paid to C above six <i>marks</i> will constitute usury."
"Meir, Ii Yoreh Deah.147.2","<i>A</i>. B's testimony is accepted without reservation since B is a trustee. According to that testimony, the payment of twenty-three pounds to C would constitute usury. B must, therefore, return the books to A and his mother upon the receipt of six <i>marks</i>. Moreover, the loan of the value of twenty-three pounds never really belonged to C, since a loan can not be legally assigned to a third party."
"Meir, Ii Yoreh Deah.147.3","R. Meir sent substantially the same answer to Rabbi Yedidyah which answer begins as follows: ""According to the (record of) claims sent to me by the judges, the widow, Bruna, did not admit that the loan originally belonged to them (to B and C). She claims only to have given them the loan in exchange for the pledges …."""
"Meir, Ii Yoreh Deah.147.4",S<small>OURCES</small>: Pr. 985–6; L. 503.
"Meir, Ii Yoreh Deah.148.1","1) <i>Q</i>. A and B planned to lend money to a Gentile in partnership at the rate of four <i>Heller</i> denarii per pound [per week]. However, A had more money to put in the partnership than B had. They agreed, therefore, that when in the future they would divide the profit, A should first take out of such profit four denarii [per week] per every pound he had invested more than B, and that the remainder should be equally divided between them. When they came to negotiate the loan with the Gentile, however, he asked them that in addition to lending him the money they undertake to feed his horses for a certain period of time. He offered to pay only three <i>Heller</i> denarii per pound [per week] interest, but the liberal compensation he offered for feeding his horses induced them to accept his terms. They agreed, therefore, that at the expiration of the designated period the Gentile pay A and B a certain sum of money, which sum represented payment of the principal and the interest, plus remuneration for feeding the horses. Now B claims that out of his share of the profit from feeding the horses he is paying A four denarii per every pound the latter had invested more than he himself had; and that such payment constituted usury."
"Meir, Ii Yoreh Deah.148.2","<i>A</i>. The above agreement between A and B is valid. No question of usury is involved. A Jew is permitted to pay interest to another Jew for a loan extended to a third party, as long as the first Jew is not responsible for the repayment of the principal."
"Meir, Ii Yoreh Deah.148.3",2) <i>Q</i>. A claims that he gave more feed to the horses than B gave.
"Meir, Ii Yoreh Deah.148.4","<i>A</i>. A should take an oath as to the amount and value of the feed he has given in excess of that of B, and be entitled to collect this difference. If A gave the extra feed at a time the price of feed was lower than it is at present, A must state under oath whether he had intended to lend feed or the price of feed to B, and be entitled to collect accordingly."
"Meir, Ii Yoreh Deah.148.5","3) <i>Q</i>. A claims that he bought four measures of feed from B and paid him for it; that when he came to take it, B told him that he had none and advised him to buy some from another person and charge it to him; and that consequently he bought two measures of feed from another person for thirteen schillings. He now demands two measures of feed plus thirteen schillings from B. B avers that since the original transaction was not binding, because mere payment of money does not legally conclude a sale of movables, he now refuses to enter into such a sale, and owes A only the money received from him."
"Meir, Ii Yoreh Deah.148.6","<i>A</i>. B must give thirteen schillings and two measures of feed to A, or he would incur severe punishment from Heaven. Although the mere payment of money does not conclude a sale, a person who retracts his word incurs severe punishment from Heaven."
"Meir, Ii Yoreh Deah.148.7","S<small>OURCES</small>: Cr. 253–4–5; cf. Hag. Maim., <i>Malveh</i> 5, 40."
"Meir, Ii Yoreh Deah.149.1","<i>Q</i>. A was deputy in lending B's money to a Gentile upon interest. Thus A took the money from B and gave it to the Gentile in B's name; the Gentile's friends went surety to B. Subsequently, the Gentile, a violent man, concocted false charges against A and ordered him to repay both the principal and the interest to B out of his own pocket. The Gentile also told B that A would pay his debt for him. A, therefore, brought the principal and the interest to B. The latter, however, being a religious man, refused to accept the interest lest it be considered usury from Jew to Jew."
