Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 23b:20	Komm und höre: Hat man ihn$fn246mit Kümmel, Mohn oder allen anderen Arten von Würzen gewürzt, so ist er tauglich; es ist Ungesäuertes, nur heißt es gewürztes Ungesäuertes. Er$fn247glaubte, wenn es mehr Gewürze sind als Ungesäuertes. 
Menachot 23b:21	Einleuchtend ist es nach demjenigen, welcher sagt, man richte sich nach dem Aufgehenden, denn das Aufgehende kann dem Aufhebenden gleichen, denn wenn es schimmlig wird, gleicht es dem Gewürze$fn248, nach demjenigen aber, welcher sagt, man richte sich nach dem Aufhebenden, kann ja das Gewürz nicht Ungesäuertes werden!? – 
Menachot 23b:22	Hier handelt es sich um den Fall, wenn es nicht mehr Gewürze sind; die Mehrheit besteht aus Ungesäuertem und geht daher nicht auf. Dies ist auch zu beweisen, denn es heißt: es ist Ungesäuertes, nur heißt es gewürztes Ungesäuertes. Schließe hieraus.
Menachot 23b:23	Als R. Kahana hinaufging$fn249, traf er die Söhne R. Ḥijas, die saßen und vortrugen: Wie ist es, wenn man ein I͑saron$fn250geteilt 
Menachot 24a:1	und in die Schale$fn251getan hat, und ein am selben Tage Untergetauchter$fn252eine von diesen$fn253berührt hat? Gilt die Lehre, beim Geheiligten verbinde$fn254ein Gefäß seinen Inhalt, nur von dem Falle, wenn sie$fn255einander berühren, nicht aber, wenn sie einander nicht berühren, oder gibt es hierbei keinen Unterschied? 
Menachot 24a:2	Da sprach er zu ihnen: Wir haben ja nicht gelernt, das Gefäß verbinde$fn256, sondern das Gefäß vereinige, in jedem Falle. – Wie ist es, 
Menachot 24a:3	wenn man zwischen diese eines$fn257hineingetan hat? – Was des Gefäßes benötigt, wird durch das Gefäß vereinigt, was des Gefäßes nicht benötigt, wird durch das Gefäß nicht vereinigt$fn258. – 
Menachot 24a:4	Wie ist es, wenn ein am selben Tage Untergetauchter zwischen sie seinen Finger gesteckt hat$fn259? Er erwiderte ihnen: Außer einem Tongefäße hast du nichts, was durch seinen Luftraum$fn260verunreimgt. 
Menachot 24a:5	Hierauf richtete er an sie eine Frage: Darf man den Haufen von der einen [Hälfte] für die andere abheben: ist die Vereinigung aus der Tora$fn261oder rabbanitisch!? 
Menachot 24a:6	Sie erwiderten ihm: Dies haben wir nicht gehört, aber ähnliches haben wir gehört. Wir haben gelernt: Sind zwei Speisopfer, von denen der Haufe nicht abgehoben worden ist, mit einander vermischt worden, so sind sie, wenn man ihn von dem einen besonders und vom anderen besonders abheben kann, tauglich, wenn aber nicht, untauglich. 
Menachot 24a:7	Wenn man ihn aber abheben$fn262kann, so sind sie tauglich; wieso denn, das vermischte wird ja nicht$fn263berührt!? 
Menachot 24a:8	Raba entgegnete: Vielleicht, wenn sie in der Art eines Kammes geteilt$fn264sind!? – 
Menachot 24a:9	Wie bleibt es damit? Raba erwiderte: Komm und höre: Es wird gelehrt:$fn265<i>Er hebe davon ab</i>, vom daran Haftenden; man darf das I͑saron nicht in zwei Gefäßen bringen und den Haufen abheben. Demnach darf man ihn aus einem Gefäße gleich zwei Gefäßen$fn266wohl abheben. 
Menachot 24a:10	Abajje sprach zu ihm: Vielleicht ist unter ‘zwei Gefäße’ ein Kapiz$fn267in einem Kab$fn268zu verstehen; obgleich sie oben$fn269vereinigt sind, sind sie dennoch unten durch die Wand des Kapiz getrennt. 
Menachot 24a:11	Unter ‘einem Gefäße gleich zwei Gefäßen’ ist ein solches wie ein Hühnernapf$fn270zu verstehen, wobei sie einander berühren, obgleich sie durch eine Wand getrennt$fn271sind. Hierbei aber, wo sie einander überhaupt nicht berühren, ist es fraglich.
Menachot 24a:12	R. Jirmeja fragte: Wie verhält es sich bei einer Vereinigung durch das Gefäß und einer Verbindung durch Wasser$fn272: 
Menachot 24a:13	bezieht sich die Lehre, beim Heiligen vereinige ein Gefäß seinen Inhalt, nur auf das darin befindliche, nicht aber auf das außerhalb befindliche, oder aber, sie sind ja verbunden? 
Menachot 24a:14	Und wie verhält es sich, wenn du entscheidest, sie sind verbunden, bei einer Verbindung durch Wasser und einer Vereinigung durch das Gefäß; wenn nämlich ein am selben Tage Untergetauchter das außerhalb befindliche berührt hat: 
Menachot 24a:15	bezieht sich die Lehre, das Gefäß vereinige [seinen Inhalt], nur auf den Fall, wenn er innerhalb berührt worden ist, nicht aber, wenn außerhalb, oder gibt es hierbei keinen Unterschied? – Dies bleibt unentschieden.
Menachot 24a:16	Raba fragte: Wie ist es, wenn man das I͑saron geteilt und eine [Hälfte] unrein geworden ist, und nachdem man sie in die Schale$fn273getan hat, ein am selben Tage Untergetauchter sie wiederum berührt hat: sagen wir, sie sei bereits mit Unreinheit gesättigt$fn274oder nicht? 
Menachot 24a:17	Abajje sprach zu ihm: Sagen wir denn, [eine Sache] sei mit Unreinheit gesättigt, wir haben ja gelernt: Hat man aus einem durch Auftreten unreinen
Menachot 24b:1	$fn275Laken einen Vorhang gemacht, so ist es nicht mehr unrein durch Auftreten, jedoch durch die Berührung des durch Auftreten$fn276verunreinigenden. 
Menachot 24b:2	R. Jose sprach: Wo hat der durch Auftreten verunreinigende es denn berührt!? Vielmehr, hat ein Flußbehafteter es$fn277berührt, so ist es durch die Berührung des Flußbehafteten$fn278unrein. 
Menachot 24b:3	Wenn aber der Flußbehaftete es berührt, selbst nachher, ist es unrein; weshalb denn, man sollte ja sagen, es sei mit Unreinheit gesättigt$fn279!? 
Menachot 24b:4	Dieser erwiderte: Woher, daß dies von dem Falle gilt, wenn der Flußbehaftete es nach dem Auftreten berührt hat, vielleicht vor dem Auftreten, sodaß die schwerere Unreinheit zu der leichteren Unreinheit$fn280hinzugekommen ist, 
Menachot 24b:5	nicht aber gilt dies hierbei, wo beide leichte Unreinheiten sind!? – 
Menachot 24b:6	Vielmehr, aus dem Schlußsatz: R. Jose pflichtet bei, daß, wenn zwei zusammengerollte Laken aufeinander liegen und der Flußbehaftete sich auf diese setzt, das obere unrein durch Auftreten und das untere unrein durch Auftreten und durch Berührung$fn281ist. Weshalb denn, man sollte ja sagen, es sei mit Unreinheit gesättigt!? – 
Menachot 24b:7	Da erfolgt dies$fn282mit einem Male, hierbei aber nacheinander.
Menachot 24b:8	Raba sagte: Wenn man ein I͑saron geteilt hat und eine Hälfte abhanden gekommen ist, und nachdem man statt dieser eine andere abgesondert hat, die erste sich einfindet und nunmehr alle drei in der Schale liegen, so werden, wenn die abhanden gewesene unrein wird, die abhanden gewesene und die erste$fn283vereinigt, 
Menachot 24b:9	die abgesonderte aber wird nicht vereinigt; wird die abgesonderte unrein, so werden die abgesonderte und die erste vereinigt, die abhanden gewesene aber wird nicht vereinigt; wird die erste unrein, so werden beide vereinigt. 
Menachot 24b:10	Abajje aber sagte: Wird eine von ihnen unrein, so werden die beiden anderen vereinigt, denn sie sind alle Hausgenossen$fn284. 
Menachot 24b:11	Dasselbe gilt auch vom Abheben des Haufens; hat man ihn von der abhanden gewesenen abgehoben, so sind das Zurückbleibende derselben und die erste zu essen, die abgesonderte aber nicht; hat man ihn von der abgesonderten abgehoben, so sind das Zurückbleibende derselben und die erste zu essen, 
Menachot 24b:12	die abhanden gewesene aber nicht; hat man ihn von der ersten abgehoben, so sind die beiden anderen nicht$fn285zu essen. 
Menachot 24b:13	Abajje aber sagte: Hat man ihn von einer von ihnen abgehoben, so sind die beiden anderen nicht zu essen, denn sie sind alle Hausgenossen. 
Menachot 24b:14	R. Papa wandte ein: Wieso ist das Zurückbleibende derselben zu essen, ein Drittel des Haufens ist ja nicht dargebracht$fn286worden!? 
Menachot 24b:15	R. Jiçḥaq, Sohn des R. Mešarše ja, wandte ein: Wieso wird der Haufe selbst dargebracht, darin ist ja ein Drittel Profanes$fn287enthalten!? 
Menachot 24b:16	R. Aši erwiderte: Das Abheben des Haufens hängt von der Absicht des Priesters ab, und der Priester hebt ihn für das I͑saron$fn288ab.
Menachot 25a:1	<sup>iii,2</sup> <b>W</b><small>ENN DER</small> H<small>AUFE UNREIN GEWORDEN UND DARGEBRACHT WORDEN</small> 1<small>ST SO MACHT IHN DAS</small> S<small>TIRNBLATT WOHLGEFÄLLIG</small>$fn289; <small>WENN ER HINAUSGEKOMMEN</small>$fn290<small>WAR UND DARGEBRACHT WORDEN IST, SO MACHT IHN DAS</small> S<small>TIRNBLATT NICHT WOHLGEFÄLLIG</small>. D<small>AS</small> S<small>TIRNBLATT MACHT NUR DAS</small> U<small>NREINE WOHLGEFÄLLIG, NICHT ABER DAS</small> H<small>INAUSGEKOMMENE</small>.
Menachot 25a:2	GEMARA. Die Rabbanan lehrten:$fn291<i>Ahron soll die Verfehlung inbetreff der heiligen Dinge auf sich nehmen</i>; welche Verfehlung soll er auf sich nehmen: wenn die der Verwerflichkeit, so heißt es ja bereits:$fn292<i>es wird nicht angerechnet werden</i>, wenn die des Übriggebliebenen, so heißt es ja bereits:$fn292<i>es wird nicht wohlgefällig machen</i>; 
Menachot 25a:3	vielmehr nimmt er auf sich die Verfehlung der Unreinheit, die aus der Allgemeinheit heraus bei der Gemeinde erlaubt$fn293worden ist. 
Menachot 25a:4	R. Zera wandte ein: Vielleicht die Verfehlung des Hinausgekommenen$fn294, das aus der Allgemeinheit heraus beim Privataltar erlaubt worden$fn295ist!? 
Menachot 25a:5	Abajje erwiderte ihm: Die Schrift sagt: $fn291<i>zum Wohlgefallen für sie vor dem Herrn</i>; nur die Verfehlung vor$fn296dem Herrn, nicht aber die Verfehlung des Hinausgekommenen. 
Menachot 25a:6	R. Ilea͑ wandte ein: Vielleicht die Verfehlung [der Dienstverrichtung mit] der linken$fn297[Hand], die aus der Allgemeinheit heraus am Versöhnungstage$fn298erlaubt worden ist!? 
Menachot 25a:7	Abajje erwiderte: Die Schrift sagt <i>Verfehlung</i>, wenn es an sich eine Verfehlung ist$fn299und verdrängt wird, während [die Dienstverrichtung mit] der linken [Hand] am Versöhnungstage Vorschrift$fn300ist. 
Menachot 25a:8	R. Aši erklärte: <i>Die Verfehlung inbetreff der heiligen Dinge</i>, nicht aber die Verfehlung der heiligenden$fn301Person. 
Menachot 25a:9	R. Sima, Sohn des R. Idi, sprach zu R. Aši, manche sagen, R. Sima, Sohn des R. Aši, zu R, Aši: Vielleicht die Verfehlung inbetreff des Fehlerbehafteten$fn302, das aus der Allgemeinheit heraus beim Geflügel erlaubt wor den$fn303ist!? Der Meister sagte nämlich: Fehlerlosigkeit und Männlichkeit$fn304ist nur beim Vieh erforderlich, nicht aber beim Geflügel. 
Menachot 25a:10	Dieser erwiderte: Deinetwegen sagt$fn305die Schrift: <i>es wird nicht wohlgefällig machen</i>, [ferner:]$fn306<i>es wird euch nicht zur Wohlgefälligkeit gereichen</i>$fn307<i>.</i>
Menachot 25a:11	Die Rabbanan lehrten: Wenn das Blut$fn308unrein geworden ist und man es gesprengt hat, so ist es, wenn versehentlich, wohlgefällig, wenn vorsätzlich, nicht wohlgefällig. Dies gilt nur von einem einzelnen, bei einer Gemeinde aber ist es wohlgefällig, einerlei ob versehentlich oder vorsätzlich; bei dem Opfer eines Nichtjuden ist es, ob versehentlich oder vorsätzlich, 
Menachot 25b:1	ob gezwungen oder willig, nicht wohlgefällig. – 
Menachot 25b:2	Ich will auf einen Widerspruch hinweisen: Was sühnt das Stirnblatt? Wenn das Blut, das Fleisch oder das Fett unrein geworden ist, ob versehentlich oder vorsätzlich, ob gezwungen oder freiwillig, ob bei einem einzelnen oder bei einer Gemeinde$fn309!? 
Menachot 25b:3	R. Joseph erwiderte: Dies ist kein Einwand; eines nach R. Jose und eines nach den Rabbanan. Es wird nämlich gelehrt: Man darf die Hebe nicht von Unreinem für das Reine absondern; hat man sie abgesondert, so ist es, wenn versehentlich, gültig, wenn aber vorsätzlich, ungültig. R. Jose sagt, es sei gültig, einerlei ob versehentlich oder vorsätzlich. – 
Menachot 25b:4	Allerdings lehrt R. Jose, daß nicht zu maßregeln$fn310sei, lehrt er etwa auch, daß das Stirnblatt das Essen$fn311sühne!? Es wird auch gelehrt: R. Elie͑zer sagt, das Stirnblatt sühne das Essen, R. Jose sagt, das Stirnblatt sühne das Essen nicht. – 
Menachot 25b:5	Wende es um: R. Elie͑zer sagt, das Stirnblalt sühne das Essen nicht, R. Jose sagt, das Stirnblatt sühne das Essen. 
Menachot 25b:6	R. Šešeth wandte ein: Wieso kannst du es umwenden, es wird ja gelehrt: Man könnte glauben, man sei wegen des vor dem Blutsprengen unrein gewordenen Fleisches wegen Unreinheit$fn312schuldig, 
Menachot 25b:7	so heißt es: $fn313<i>jeder Reine darf das Fleisch essen; die Person aber, die Fleisch vom Heilsopfer des Herrn ißt, während Unreinheit ihr anhaftet, wird ausgerottet werden</i>; wegen dessen, das Reinen erlaubt ist, ist man wegen Unreinheit schuldig, wegen dessen aber, das Reinen nicht erlaubt$fn314ist, ist man wegen Unreinheit nicht schuldig. 
Menachot 25b:8	Vielleicht ist dem nicht so, sondern ist man wegen dessen, das von Reinen gegessen werden darf, wegen Unreinheit schuldig, 
Menachot 25b:9	und wegen dessen, das von Reinen nicht gegessen werden$fn315darf, wegen Unreinheit nicht schuldig, wonach das Übernachtete$fn316und das Hinausgebrachte auszuschließen$fn317ist, da sie von Reinen nicht gegessen werden dürfen? 
Menachot 25b:10	Es heißt: <i>des Herrn</i>, einschließend. 
Menachot 25b:11	Man könnte glauben, 
Menachot 25b:12	auch Verwerfliches und das Übriggebliebene seien einzuschließen. – Übriggebliebenes ist ja Übernachtetes!? – Vielmehr: daß Verwerfliches dem Übriggebliebenen gleiche, so heißt es: <i>vom Heilsopfer</i>, ausschließend. 
Menachot 25b:13	Was veranlaßt dich, jene einzuschließen und dieses auszuschließen? Nachdem die Schrift eingeschlossen und ausgeschlossen hat, schließe ich das ein, was vorher tauglich war, und schließe das aus, was niemals tauglich war. 
Menachot 25b:14	Wenn du aber einwendest, wieso man demnach wegen vor dem Blutsprengen unrein gewordenen Fleisches, das man nach dem Blutsprengen gegessen hat, wegen Unreinheit schuldig$fn318ist, [so ist zu erwidern:] weil das Stirnblatt es wohlgefällig$fn319macht. 
Menachot 25b:15	Also nur unreines, nicht aber hinausgebrachtes. 
Menachot 25b:16	Der Autor, welcher lehrt, beim Hinausgebrachten sei das Sprengen wirkungslos, ist ja R. Elie͑zer, und er lehrt, das Stirnblatt sühne$fn320das Essen!? 
Menachot 25b:17	Vielmehr, erklärte R. Ḥisda, dies ist kein Einwand; eines nach R. Elie͑zer und eines nach den Rabbanan. – 
Menachot 25b:18	Allerdings lehrt R. Elie͑zer, das Stirnblatt sühne das Essen, lehrt er etwa auch, daß nicht zu maßregeln$fn321sei? – Freilich, wie R. Jose dies$fn322lehrt, ebenso lehrt es auch R. Elie͑zer. Es wird nämlich gelehrt: R. Elie͑zer sagt, die Absonderung der Hebe ist gültig, einerlei ob versehentlich oder vorsätzlich. – 
Menachot 25b:19	Allerdings lehrt es R. Elie͑zer von der leichteren Hebe, lehrt er es etwa auch von den strengeren Opfern!? – Wem sonst willst du es$fn323addizieren!? 
Menachot 25b:20	Rabina erklärte: Die Unreinheit kann sowohl versehentlich als auch vorsätzlich erfolgt sein, dennoch ist [das Opfer] wohlgefällig, die Sprengung aber muß versehentlich erfolgt sein, wenn aber vorsätzlich, ist es nicht$fn324wohlgefällig. 
Menachot 25b:21	R. Šila erklärte: Die Sprengung kann sowohl versehentlich als auch vorsätzlich erfolgt sein, dennoch ist [das Opfer] wohlgefällig, die Unreinheit aber muß versehentlich erfolgt sein, wenn aber vorsätzlich, ist es nicht wohlgefällig. – 
Menachot 25b:22	Wieso heißt es nach R. Šila: unrein geworden ist, ob versehentlich oder vorsätzlich!? – Er meint es wie folgt: wenn es versehentlich unrein geworden ist, und ob versehentlich oder vorsätzlich gesprengt worden ist. – 
Menachot 26a:1	Komm und höre: Hat man unrein gewordenes Blut gesprengt, so ist es, wenn versehentlich, wohlgefällig, und wenn vorsätzlich, nicht$fn325wohlgefällig!? – Er meint es wie folgt: wenn man unrein gewordenes Blut gesprengt hat, ob versehentlich oder vorsätzlich, so ist es, wenn versehentlich unrein geworden, wohlgefällig, und wenn vorsätzlich, nicht wohlgefällig.
Menachot 26a:2	<sup>iv,1</sup> <b>I</b><small>ST DAS</small> Z<small>URÜCKBLEIBENDE UNREIN GEWORDEN, VERBRANNT WORDEN ODER ABHANDEN GEKOMMEN, SO IST ES NACH DER</small> A<small>NSICHT</small> R. E<small>LIE͑ZERS</small>$fn326<small>TAUGLICH UND NACH DER</small> A<small>NSICHT</small> R. J<small>EHOS͑UA͑S</small>$fn326<small>UNTAUGLICH</small>.
Menachot 26a:3	GEMARA. Rabh sagte: Dies$fn327nur, wenn das Zurückbleibende vollständig unrein geworden ist, nicht aber, wenn nur ein Teil. 
Menachot 26a:4	Er$fn328glaubte, dies gelte nur vom Unreinwerden, nicht aber vom Abhandenkommen und Verbranntwerden. Welcher Ansicht ist er: ist er der Ansicht, das Zurückbleibende sei wesentlich, so sollte dies auch vom Abhandenkommen und Verbranntwerden gelten, und ist er der Ansicht, das Zurückbleibende sei unwesentlich, nur gelte es$fn329vom Unreinwerden deshalb, weil das Stirnblatt es wohlgefällig macht, so sollte dies$fn330auch vom vollständigen Zurückbleibenden gelten!? – 
Menachot 26a:5	Tatsächlich ist er der Ansicht, das Zurückbleibende sei wesentlich, und dies gilt sowohl vom Unreinwerden als auch vom Abhandenkommen und Verbranntwerden, nur lehrt er es deshalb vom Unreinwerden, weil es das erste$fn331ist. 
Menachot 26a:6	Es wird auch gelehrt: R. Jehošua͑ sagte: Wenn von einem aller in der Tora genannten Schlachtopfer eine Olive Fleisch oder eine Olive Fett zurückgeblieben ist, so sprenge man das Blut, 
Menachot 26a:7	wenn aber eine halbe Olive Fleisch und eine halbe Olive Fett, so darf man das Blut nicht sprengen; bei einem Brandopfer aber sprenge man das Blut auch wegen einer halben Olive Fleisch und einer halben Olive Fett, weil das Brandopfer vollständig verbrannt$fn332wird. Wegen des Speisopfers$fn333aber sprenge man es nicht, auch wenn es vollständig vorhanden ist. – 
Menachot 26a:8	Wer spricht hier vom Speisopfer!? R. Papa erwiderte: Das Speisopfer des Gußopfers$fn334; man könnte glauben, es gleiche, da es mit dem Schlachtopfer dargebracht wird, dem Schlachtopfer selbst, so lehrt er uns. – 
Menachot 26a:9	Woher dies$fn335? R. Joḥanan erwiderte im Namen R. Jišma͑éls, manche meinen, im Namen des R. Jehošua͑ b. Ḥananja: Die Schrift sagt:$fn336<i>er soll das Fett zum wohlgefälligen Gerüche für den Herrn aufräuchern</i>, das Fett, auch wenn das Fleisch nicht vorhanden$fn337ist. – 
Menachot 26a:10	Wir wissen dies vom Fette, woher dies vom Lebernetz$fn338und den beiden Nieren? Er lehrt, daß man es wegen des Speisopfers, selbst wenn es vollständig vorhanden ist, nicht sprenge, wonach man es nur wegen des Speisopfers nicht sprenge, wohl aber wegen des Lebernetzes und der beiden Nieren. 
Menachot 26a:11	Woher dies? R. Joḥanan erklärte in seinem eigenen Namen: <i>Zum wohlgefälligen Gerüche</i>, wegen all dessen, was du zum wohlgefälligen Gerüche darbringst. – 
