		comma separated			Halachic/Midrashic/Mahshava/Linguistic									For placed sources	For unplaceable Sources	For unplaceable Sources			
רד"ק מלכים א פרק יא פסוק כז	Radak Melachim I 11:27	Jerusalem, City of David, Zion	Millo	Shlomo marries Pharaoh's daughter, splitting of the kingdom		Shlomo, Pharaoh's daughter, Yerovam, David	king	13	City of David	9	no	no	no	x	(כז) שלמה בנה את המלוא - המלוא היה מקום בעיר ירושלם סמוך לירושלם והיה רחבה להתאסף שם העם מענין קראו אחריך מלוא שהוא ענין אסיפה ושלמה בנה אותו המקום כי הוצרך לו כשבנה בית לבת פרעה ואף על פי כן מן הנראה לא היה טוב בעיני העם מה שעשה שלמה והיו יריאים ממנו לאמר כך וכך עשה שלמה וזה ירבעם גבה לבו והעיז את פניו ואמר שלמה בנה את המלוא כלומר ראו רעה שעשה ועוד שאמר שלמה ולא אמר המלך וזה היה מרד במלך ועוד אמר סגר את פרץ דוד אביו פירשו בו כי דוד עשה פרץ בחומת ציון שאם ימרדו בו ישראל יצא ויברח משם בלא דעתם כמו שהוא מנהג היום במלכי ישמעאל שיעשו פרץ במבצריהם שאם יקומו על המלך בני העיר שיברח משם ויקראו שמו שער הבגד ושלמה סגר אותו הפרץ ואמר ירבעם ראו גבהות לבו שסגר הפרץ כלומר שהוא בוטח שאינו ירא ממרד ובדברי רז"ל מפני מה זכה ירבעם למלכות מפני שהוכיח את שלמה ומפני מה נענש מפני שהוכיחו ברבים אמר לו דוד אביך פרץ פרצות בחומה כדי שיעלו ישראל לרגל ואתה גדרת אותם כדי לעשות אנגריא לבת פרעה ואמרו רז"ל מאי וזה הדבר אשר הרים יד במלך שחלץ תפליו בפניו:	Solomon built up the Millo – The Millo was a part of Jerusalem which was up against the city where there was a broad space for people to gather. This is why they called it Millo (that could be read as m’lo meaning full), which refers to a gathering. Shlomo built up this place because he needed it in order to build a house for Pharaoh’s daughter. Nevertheless, it appears that the people did not look upon Shlomo’s action favorably, but they were afraid to comment on what he had done. It was Yerovam who, filled with arrogance, brazenly stated that Shlomo built up the Millo, meaning ‘see the evil which he did.’ Furthermore, Yerovam called him Shlomo and not ‘the king’ which is an act of rebellion against royal authority. Furthermore, he said ‘and closed up the breach of the city of David, his father.’ David made breaks in the wall of Zion in order to be able escape undetected if the people ever rebelled against him. This is the custom of Ishmaelite kings today to have a breach in their fortresses through which to flee if the people of the city rise up against them, and they call it ‘the Treachery Gate.’ Shlomo closed up that breach in the wall, and Yerovam said ‘see how arrogant he is that he closed up the breach,’ meaning that he is secure and unafraid of rebellion. Our Sages asked ‘why did Yerovam merit to kingship? Because he rebuked Shlomo. And why was he punished? Because he rebuked him in public. He said to Shlomo – David your father broke one the walls in order that Israel could come up for the festival holidays, while you sealed them up to make a labor gang for the daughter of Pharaoh.’ The Sages further said ‘what does it mean “And this was the matter [concerning] which he raised his hand against the king…” (Melachim I 11:27)? That he took off his tefillin before him.’	x		Radak
מצודת דוד מלכים א פרק יא פסוק כז	Metzudat David Melachim I 11:27	City of David				Shlomo	king	13	City of David	10	yes	no	yes	Metzudat David on I Kings 11:27, 2					
ישעיהו פרק כב	Isaiah 22:9	City of David						13	City of David	11	yes	yes	yes	Isaiah 22:9					
איכה רבה (וילנא) פתיחתות ד"ה כד רבי יוחנן	Eicha Raba Petichtot 24	City of David, Jerusalem		Assyrian siege		Hezekiah		13	City of David	12	no	no	no	x	...(ישעיה כ"ב) ואת בקיעי עיר דוד ראיתם כי רבו וגו' ואת בתי ירושלים ספרתם ותתצו הבתים לבצר החומה, מלמד שהיו נותצין בתיהם ומוסיפין על החומה ולא כבר עשה חזקיהו כן הלא כתיב (ד"ה =דברי הימים= ב' ל"ב) ויתחזק ויבן את כל החומה הפרוצה וגו' אלא חזקיה בה' אלהי ישראל בטח אבל אתם לא הבטחתם היינו הוא דאמר (ישעיה כ"ב) ולא הבטתם אל עושיה ויוצרה מרחוק לא ראיתם...	…“And the cracks of the city of David you saw that they had increased… And the houses of Jerusalem you counted, and you demolished the houses to fortify the wall.” (Yeshayahu 22:9-10) This comes to teach that they were tearing down their houses and adding to the wall. And did Hezekiah not already do this? Isn’t it written “And he strengthened himself and built the whole breached wall…” (Divre HaYamim II 32:5) Rather, Hezekiah trusted in the Lord God of Israel while you did not, as it says “…but you did not look to its Maker, and Him Who fashioned it from afar…” (Yeshayahu 22:11)	x		Eicha Raba
דברי  הימים א פרק יא 	Divre HaYamim I 11:5	Yevus		David conquers Jerusalem		David		13	City of David	13	yes	no	yes	I Chronicles 11:5				NOTE: in sources later than Isaiah (beginning with Nechemia) David is spelled with a yud	
ספרי דברים פרשת וזאת הברכה פיסקא שמז	Sifre Devarim V’zot HaBracha 347	City of David	Millo			Reuven, Yosef, David, Shlomo		13	City of David	14	no	no	no	x	דבר אחר יחי ראובן במעשה יוסף ואל ימות במעשה בלהה. רבי חנניה בן גמליאל אומר לעולם אין מחליפין לא זכות בחובה ולא חובה בזכות חוץ משל ראובן ומשל דוד שנאמר +ש"ב טז יג+ ושמעי הולך בצלע אף על פי כן +שם /ש"ב טז יג/+ ההר לעומתו +מ"א יא כז+ שלמה בנה את המילוא אף על פי כן סגר את פרץ עיר דוד אביו וחכמים אומרים לעולם אין מחליפים לא זכות בחובה ולא חובה בזכות אלא נותנים שכר על המצות ועונשים על העבירות ומה תלמוד לומר יחי ראובן ואל ימות שעשה ראובן תשובה, רבן שמעון בן גמליאל אומר מוצל היה ראובן מאותו החטא ולא נזקק לאותו מעשה איפשר מי שעתיד לעמוד בראש שבטים בהר עיבל ואומר +דברים כז כ+ ארור שוכב עם אשת אביו נזקק לאותו מעשה ומה תלמוד לומר +בראשית מט ד+ כי עלית משכבי אביך שתבע עלבון אמו. ויהי מתיו מספר, בעולם הזה שימיו מספר אבל לעתיד לבא יחי ראובן ואל ימת.	Another explanation. “May Reuven live…” through the episode of Yosef “…and not die…” (Devarim 33:6) through the episode of Bilhah. R’ Chananya ben Gamliel says: merit is never offset by sin, nor sin by merit except in the cases of Reuven and David, as it says “…and Shimei went along…” (Shmuel II 16:13) and nevertheless “…the hillside opposite him…” (ibid.) “Solomon built up the Millo…” and nevertheless “…and closed up the breach of the city of David, his father.” (Melachim I 11:27) The Sages say: merit is never offset by sin nor sin by merit, rather reward is given for fulfilling commandments and punishment for transgression. What then does the verse mean when it says ‘may Reuven live and not die’? That Reuven repented. R’ Shimon ben Gamliel says: Reuven was saved from that sin and never engaged in that action. Is it possible that one who was destined to stand at the head of the tribes on Mount Eval and say “Cursed be he who lies with his father's wife…” (Devarim 27:20) would do such a thing?! What then does the Torah mean when it says “…for you ascended upon your father's couch…” (Bereshit 49:4)? That he protested his mother’s disgrace. “…and may his people be counted in the number,” (Devarim 33:6) in this world, because his days are numbered, but in the days to come ‘may Reuven live and not die.’	x		Sifre Devarim
תלמוד בבלי מסכת סנהדרין דף קא עמוד ב	Talmud Bavli Sanhedrin 101b	City of David	Millo	splitting of the kingdom		Yerovam, Shlomo, David, Pharoah's daughter	festival	13	City of David	15	yes	no	yes	Talmud Sanhedrin 101b 39-44					
ילקוט שמעוני מלכים א רמז קעב	Yalkut Shimoni Melachim I 172	City of David		Shlomo marries Pharaoh's daughter, building of the First Temple		Shlomo, Pharaoh's daughter, Gavriel	angel, Rome	13	City of David	16	yes	no	yes	Yalkut Shimoni on Nach 172:2					
מגילת תענית (ליכטנשטיין) הסכוליון	Megillat Ta’anit with the scholium	Jerusalem, City of David, Zion	stronghold	David conquers Jerusalem, Hasmonean revolt				13	City of David	17	yes	no	yes	Megillat_Taanit,_Iyar.5-7			Upcoming version on draft is not the same Hebrew text that this translation is based on.		
שמואל ב פרק כד	Shmuel II 24:16-25	Yevus	threshing floor	David purchases the threshing floor		Aravna, David	angel, altar, king, sacrifice	14	Aravna	1	yes	yes	yes	II Samuel 24:16-25					
רש"י שמואל ב פרק כד פסוק טז	Rashi Shmuel II 24:16	Yevus, Zion	stronghold			Aravna		14	Aravna	2	yes	no	yes	Rashi on II Samuel 24:16					
רד"ק שמואל ב פרק כד פסוק טז	Radak Shmuel II 24:16	Jerusalem, Yevus	Holy Temple	David purchases the threshing floor		The Holy One, Aravna, David	angel, prayer, fire, altar	14	Aravna	3	no	no	english only	Radak on II Samuel 24:16	(טז) וישלח ידו המלאך - הראה הקדוש ברוך הוא דמות מלאך וחרבו שלופה בידו נטוי' על ירושלים והעמידו סמוך לגרן ארונה היבוסי כדי שיראהו דוד שם ויתפלל ויעתר לו האל במקום ההוא ותעצר המגפה ויהיה סימן לדוד כי שם הוא מקום העתרה ושם יהיה בית המקדש ושם בית התפלה והעבודה כמו שצוה לו האל על יד גד להקים שם מזבח ושם נעתר לו באש שירד מן השמים על העולה כמו שאומר בדברי הימים:				
רד"ק שמואל ב פרק כד פסוק כג	Radak Shmuel II 24:23	Jerusalem, Yevus	threshing floor, stronghold, Holy Temple	days of Yehoshua, David conquers Jerusalem, David purchaes the threshing floor, building of the First Temple		Aravna, David, Yehudah, Benyamin, Shlomo, Avimelech	king	14	Aravna	4	no	no	english only	Radak on II Samuel 24:23					
דברי הימים א פרק כא	Divre HaYamim I 21:25-30			David purchases the threshing floor		David, Ornan	altar, sacrifice, fire, angel	14	Aravna	5	yes	yes	yes	I Chronicles 21:25-30					
רש"י דברי הימים א פרק כא פסוק כה	Rashi Divre HaYamim I 21:25			David purchases the threshing floor		David, Ornan	tribes	14	Aravna	6	yes	no	yes	Rashi on I Chronicles 21:25					
רד"ק דברי הימים א פרק כא פסוק כה	Radak Divre HaYamim I 21:25		altar, threshing floor	David purchases the threshing floor		David, Ornan	tribes, altar	14	Aravna	7	no	no	no	x	(כה) ויתן דוד לארנן במקום שקלי זהב משקל שש מאות - ובספר שמואל אמר ויקן דוד את הגורן ואת הבקר בכסף שקלים חמשים, אמרו רז"ל גבה מכל שבט ושבט חמשים שהם שש מאות כסף ומשקלם במשקל של זהב וזהו שאמר שקלי זהב, ועוד אמרו כתוב אחד אומר באחד שבטיך וכתוב אחד אומר מכל שבטיכם בית משבט אחד והכסף מכל שבטיכם, רבי אומר משום אבא יוסי בן דוסתאי בקר ועצים ומקום מזבח בחמשים וכל הבית כלו בשש מאות, ולשון הפסוקים מוכיחים דברי רבי כי בספר שמואל אומר את הגורן ואת הבקר בכסף שקלים חמשים כי הגורן והבקר היה בחמשים, והנה אומר ויתן דוד לארנון במקום שקלי זהב, ר"ל בכל המקום כי בגרן היה המזבח והשדה כלו נבנה בו הבית:	And David gave to Ornan for the place shekels of gold weighing six hundred­ – In the book of Shmuel it says “And David bought the threshing-floor and the oxen for fifty shekels of silver.” (Shmuel II 24:24) The Rabbis said concerning this: he collected fifty shekel from each tribe which makes up six hundred shekels of silver. Their weight was according to a gold weight standard, which is why it says ‘shekels of gold.’ They further said: one verse says “in one of your tribes” (Devarim 12:14) and another verse says “from all your tribes” (Devarim 12:5) which teaches that the House will be in one tribe, but that the money will come from all of your tribes. Rebbe says in the name of Abba Yosi ben Dostai: the oxen, the wood and the place of the altar for fifty shekels and all the House for six hundred. The language of the verses support Rebbe because in the book of Shmuel it says ‘the threshing-floor and the oxen for fifty shekels of silver’ because specifically the threshing-floor and the oxen cost fifty. Here it says ‘David gave to Ornan for the place shekels of gold,’ meaning for all the place because the altar was on the threshing-floor while the House was built on the field all around.	x		Radak
